,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Genes
GABRP,0,-1.71566791,0.417,0.755,0,GABRP
KRT23,0,2.978587092,0.607,0.273,0,KRT23
HLA-A,0,-0.815174701,0.464,0.79,0,HLA-A
MUCL3,0,1.132302212,0.528,0.202,0,MUCL3
OAS2,0,-1.925287124,0.228,0.551,0,OAS2
ISG15,0,-2.476353861,0.403,0.704,0,ISG15
UPK3B,0,3.782612198,0.349,0.061,0,UPK3B
BST2,0,-1.473099229,0.581,0.863,0,BST2
HMGA2,0,-2.811402765,0.24,0.511,0,HMGA2
TRIM54,0,2.030007033,0.411,0.145,0,TRIM54
KLK11,0,1.189811211,0.6,0.336,0,KLK11
SOSTDC1,0,4.512849269,0.302,0.04,0,SOSTDC1
CRP,0,3.507008651,0.313,0.052,0,CRP
MUC4,0,1.670539401,0.534,0.275,0,MUC4
CCL18,0,-2.390213143,0.111,0.37,0,CCL18
KRT16,0,-1.615993434,0.324,0.583,0,KRT16
SFTA2,0,1.504766063,0.619,0.362,0,SFTA2
IL2RG,0,-1.529196567,0.226,0.481,0,IL2RG
MX1,0,-1.669856115,0.238,0.49,0,MX1
DEFB1,0,1.383505392,0.618,0.368,0,DEFB1
PTGIS,0,1.764143208,0.453,0.206,0,PTGIS
WNT7B,0,1.905178539,0.425,0.178,0,WNT7B
G0S2,0,-1.740361854,0.541,0.786,0,G0S2
OAS3,0,-1.366574873,0.277,0.517,0,OAS3
PTN,0,2.379334235,0.339,0.104,0,PTN
TNS4,0,-0.767872118,0.309,0.544,0,TNS4
S100A2,0,-2.540467767,0.396,0.631,0,S100A2
TNFSF10,0,-1.319699152,0.435,0.665,0,TNFSF10
CXCL17,0,0.785112602,0.448,0.218,0,CXCL17
OAS1,0,-1.230169597,0.329,0.557,0,OAS1
TRBC2,0,-1.102715645,0.25,0.476,0,TRBC2
PSCA,0,0.77247616,0.707,0.481,0,PSCA
SQOR,0,-1.175545038,0.585,0.81,0,SQOR
PLAU,0,-1.515672706,0.35,0.575,0,PLAU
MMP11,0,-1.23931677,0.501,0.726,0,MMP11
REG4,0,-2.230471101,0.065,0.286,0,REG4
IFI44,0,-1.314797955,0.379,0.599,0,IFI44
CA9,0,2.380792883,0.354,0.134,0,CA9
OASL,0,-1.568564145,0.193,0.413,0,OASL
ICAM2,0,-1.279778579,0.199,0.419,0,ICAM2
EPSTI1,0,-1.147301333,0.351,0.57,0,EPSTI1
AZGP1,0,0.981337651,0.539,0.323,0,AZGP1
IGFBP2,0,1.16144028,0.609,0.393,0,IGFBP2
ONECUT2,0,1.358309657,0.469,0.253,0,ONECUT2
SULF2,0,-0.864434918,0.497,0.712,0,SULF2
DES,0,4.668070973,0.272,0.058,0,DES
IFIT3,0,-1.362841141,0.274,0.488,0,IFIT3
TNS1,0,1.132051021,0.68,0.467,0,TNS1
SOD3,0,1.284539583,0.585,0.373,0,SOD3
FSCN1,0,-1.171842444,0.326,0.536,0,FSCN1
IFI6,0,-2.018105438,0.68,0.889,0,IFI6
MXD1,0,-1.113578005,0.243,0.45,0,MXD1
C15orf48,0,-1.302520204,0.552,0.759,0,C15orf48
