"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0	283.953396821215	0.605	0.797	0	"CC07"	"LAMA3"
0	178.636658837415	0.703	0.873	0	"CC07"	"SLPI"
0	156.996229959993	0.82	0.942	0	"CC07"	"SDC4"
0	106.501906792967	0.689	0.797	0	"CC07"	"G0S2"
0	73.1367827382271	0.382	0.558	0	"CC07"	"IL1RN"
0	64.6623697983069	0.93	0.923	0	"CC07"	"BGN"
0	61.752152052509	0.984	0.996	0	"CC07"	"B2M"
0	55.8244042789999	0.945	0.978	0	"CC07"	"TPM1"
0	46.4038661789063	0.946	0.921	0	"CC07"	"DCN"
0	45.9085093455055	0.919	0.966	0	"CC07"	"GNAS"
0	45.7255953908317	0.268	0.434	0	"CC07"	"KRT15"
0	42.5713178218733	0.933	0.975	0	"CC07"	"ITGB1"
0	32.8982058524531	0.869	0.959	0	"CC07"	"APLP2"
0	28.5594577048803	0.793	0.907	0	"CC07"	"PDIA4"
0	25.2406578612665	0.712	0.866	0	"CC07"	"FLNB"
0	24.2682894541584	0.775	0.926	0	"CC07"	"LAMB3"
0	24.2680103572257	0.749	0.866	0	"CC07"	"TRAM1"
0	22.8287719286191	0.573	0.443	0	"CC07"	"PTGDS"
0	21.8348876802392	0.939	0.977	0	"CC07"	"RHOA"
0	20.2915627654246	0.508	0.654	0	"CC07"	"CCDC50"
0	19.7731029530582	0.722	0.841	0	"CC07"	"SF3B1"
0	18.7691827982373	0.567	0.738	0	"CC07"	"PSMC4"
0	17.0575525971566	0.737	0.881	0	"CC07"	"CAPG"
0	15.4793317671048	0.549	0.743	0	"CC07"	"ITGB8"
0	14.6253291320765	0.705	0.834	0	"CC07"	"RAB5A"
0	14.1656041092418	0.872	0.972	0	"CC07"	"S100A14"
0	14.0803279249737	0.849	0.939	0	"CC07"	"EIF4A2"
0	14.0780664486134	0.857	0.939	0	"CC07"	"ACTR3"
0	12.9561167111251	0.256	0.413	0	"CC07"	"RIPK4"
0	12.7267291351842	0.56	0.692	0	"CC07"	"TNFSF10"
0	12.258517888786	0.833	0.919	0	"CC07"	"SEPTIN2"
0	11.8301042915465	0.808	0.906	0	"CC07"	"HNRNPC"
0	11.6108470720205	0.659	0.787	0	"CC07"	"OPTN"
0	10.996221638045	0.156	0.299	0	"CC07"	"SLC39A4"
0	10.7428254211224	0.792	0.883	0	"CC07"	"PFDN5"
0	10.7223179811287	0.711	0.843	0	"CC07"	"PSMC5"
0	10.1328574918051	0.424	0.567	0	"CC07"	"ETNK1"
0	9.84099132060252	0.598	0.723	0	"CC07"	"DDB1"
0	9.8110578798949	0.705	0.852	0	"CC07"	"APOL1"
0	9.62883981499598	0.701	0.827	0	"CC07"	"TMEM50A"
0	8.88708239585936	0.734	0.838	0	"CC07"	"SHISA5"
0	8.39864401242264	0.591	0.76	0	"CC07"	"SCD"
0	8.39864060025809	0.812	0.914	0	"CC07"	"PLSCR1"
0	8.39347243658415	0.832	0.927	0	"CC07"	"SET"
0	8.2422027440066	0.431	0.627	0	"CC07"	"DSP"
0	8.23479683503424	0.61	0.749	0	"CC07"	"MYL12A"
0	8.17690735866677	0.454	0.64	0	"CC07"	"TWF1"
0	6.94674256309698	0.577	0.715	0	"CC07"	"CFB"
0	6.93293917277464	0.742	0.862	0	"CC07"	"RAB5C"
0	6.89518089768526	0.778	0.88	0	"CC07"	"TRIM8"
0	6.88519528022861	0.807	0.91	0	"CC07"	"IQGAP1"
0	6.70987523126576	0.606	0.777	0	"CC07"	"SPATS2L"
0	6.51597448242175	0.901	0.874	0	"CC07"	"C1R"
0	6.41125012534019	0.617	0.763	0	"CC07"	"TMEM63A"
0	6.25452955076789	0.794	0.885	0	"CC07"	"MORF4L1"
0	6.21401772806116	0.577	0.725	0	"CC07"	"SNRPC"
0	6.01293217519248	0.38	0.55	0	"CC07"	"CYB561"
0	5.96100082950231	0.63	0.802	0	"CC07"	"SF3B6"
0	5.87821941829047	0.757	0.871	0	"CC07"	"HMGB1"
0	5.87270586936612	0.352	0.508	0	"CC07"	"PAWR"
0	5.85393940073216	0.817	0.896	0	"CC07"	"ARF3"
0	5.81549438049529	0.611	0.761	0	"CC07"	"NUMA1"
0	5.77364740452272	0.548	0.687	0	"CC07"	"RUVBL2"
0	5.5845985684546	0.857	0.945	0	"CC07"	"RTN4"
0	5.5786657109285	0.8	0.918	0	"CC07"	"KDELR2"
0	5.38946426575158	0.599	0.75	0	"CC07"	"UBA2"
0	5.24320568897595	0.503	0.651	0	"CC07"	"RNF13"
0	5.21142888790803	0.366	0.52	0	"CC07"	"DLG1"
0	5.06529145627483	0.465	0.618	0	"CC07"	"YAP1"
0	4.75572974403241	0.609	0.739	0	"CC07"	"GNAI3"
0	4.62364867234535	0.704	0.852	0	"CC07"	"OCIAD1"
0	4.61836749056353	0.61	0.777	0	"CC07"	"PSMA2"
0	4.59405092626773	0.409	0.576	0	"CC07"	"STAG2"
0	4.30419125310166	0.709	0.857	0	"CC07"	"PRR13"
0	4.28042682211652	0.635	0.79	0	"CC07"	"CMTM6"
0	4.0853202532273	0.55	0.705	0	"CC07"	"EIF3B"
0	4.07058299427261	0.859	0.939	0	"CC07"	"CALR"
0	4.07053919560885	0.567	0.757	0	"CC07"	"KLF5"
0	4.05124646179152	0.741	0.829	0	"CC07"	"EMP1"
0	4.04868611005643	0.673	0.799	0	"CC07"	"CTDSP1"
0	3.98018971418186	0.637	0.797	0	"CC07"	"CCDC47"
0	3.95433783288468	0.827	0.924	0	"CC07"	"CAPZA2"
0	3.88815842807029	0.329	0.506	0	"CC07"	"MXD1"
0	3.86004496069947	0.47	0.646	0	"CC07"	"EIF2AK1"
0	3.81547189933677	0.647	0.788	0	"CC07"	"PSMA1"
0	3.69965457667897	0.53	0.685	0	"CC07"	"UBE2D2"
0	3.64164720882659	0.543	0.718	0	"CC07"	"RALB"
0	3.18108054516281	0.666	0.786	0	"CC07"	"ADAR"
0	3.16361783456267	0.492	0.647	0	"CC07"	"SHB"
0	3.13224882429126	0.719	0.846	0	"CC07"	"TMEM258"
0	2.96193275972699	0.568	0.71	0	"CC07"	"SUMF2"
0	2.85949285362609	0.59	0.751	0	"CC07"	"CERS2"
0	2.81117774249672	0.674	0.816	0	"CC07"	"TMED10"
0	2.71023932756216	0.707	0.837	0	"CC07"	"SQOR"
0	2.70874888271253	0.269	0.455	0	"CC07"	"MACC1"
0	2.62354295760901	0.547	0.693	0	"CC07"	"CASP4"
0	2.60275162319666	0.422	0.585	0	"CC07"	"TSG101"
0	2.59216015919912	0.79	0.898	0	"CC07"	"ELF3"
0	2.56005252333489	0.757	0.855	0	"CC07"	"FLOT1"
0	2.49002677498927	0.796	0.895	0	"CC07"	"ATP5MG"
0	2.39149142047254	0.625	0.762	0	"CC07"	"ATL3"
0	2.3645641443122	0.732	0.847	0	"CC07"	"CDV3"
0	2.33590991863367	0.444	0.594	0	"CC07"	"RAB11B"
0	2.18781843727195	0.799	0.898	0	"CC07"	"ZFP36L1"
0	2.16645496110934	0.643	0.814	0	"CC07"	"TMEM123"
0	2.10369127033831	0.56	0.756	0	"CC07"	"AHR"
0	2.09521307251033	0.699	0.837	0	"CC07"	"PTPN12"
0	1.95583889318859	0.679	0.832	0	"CC07"	"RPN1"
0	1.90262896949	0.557	0.694	0	"CC07"	"ANKLE2"
0	1.89955487972521	0.53	0.679	0	"CC07"	"DYNC1I2"
0	1.7074577154912	0.731	0.847	0	"CC07"	"TMEM259"
0	1.65446581765753	0.422	0.572	0	"CC07"	"NELFCD"
0	1.60794315099113	0.764	0.877	0	"CC07"	"XRCC5"
0	1.55726292687776	0.631	0.757	0	"CC07"	"ANKRD10"
0	1.54925593931351	0.613	0.751	0	"CC07"	"PLS3"
0	1.47549226400272	0.323	0.496	0	"CC07"	"FAM222B"
0	1.2491823237444	0.723	0.882	0	"CC07"	"GIPC1"
0	1.18906217848725	0.751	0.883	0	"CC07"	"PTTG1IP"
0	1.18516823427439	0.707	0.825	0	"CC07"	"LMO7"
0	1.16318886908828	0.811	0.898	0	"CC07"	"ARPC5"
0	1.10751652724408	0.706	0.82	0	"CC07"	"SEC11A"
0	1.10420893697584	0.791	0.893	0	"CC07"	"NUCKS1"
0	1.07043613886343	0.446	0.606	0	"CC07"	"DCUN1D1"
0	1.06507420772753	0.546	0.71	0	"CC07"	"TMOD3"
0	1.01510340952717	0.652	0.812	0	"CC07"	"UBE2E3"
0	1.01144812552868	0.596	0.766	0	"CC07"	"UNC93B1"
0	0.983303294080709	0.629	0.781	0	"CC07"	"MKNK2"
0	0.964215121787621	0.505	0.669	0	"CC07"	"LSM12"
0	0.896014273296686	0.732	0.855	0	"CC07"	"RPN2"
0	0.828034739123375	0.749	0.853	0	"CC07"	"REXO2"
0	0.827228547775753	0.656	0.801	0	"CC07"	"S100A13"
0	0.798272990218155	0.731	0.853	0	"CC07"	"AIDA"
0	0.797899798739104	0.395	0.547	0	"CC07"	"MEA1"
0	0.778954565295255	0.431	0.595	0	"CC07"	"ZCRB1"
0	0.754660244223462	0.696	0.824	0	"CC07"	"TGOLN2"
0	0.754582790567412	0.611	0.74	0	"CC07"	"CBFB"
0	0.729779577877544	0.754	0.894	0	"CC07"	"VAMP8"
0	0.695311927601397	0.289	0.46	0	"CC07"	"ATL2"
0	0.687538130657076	0.559	0.734	0	"CC07"	"RAB10"
0	0.654367973549029	0.917	0.972	0	"CC07"	"ENO1"
0	0.612162832843314	0.379	0.538	0	"CC07"	"PSMG3"
0	0.563029651027263	0.269	0.445	0	"CC07"	"TJP3"
0	0.54191761833539	0.68	0.825	0	"CC07"	"MYL12B"
0	0.536388252748165	0.49	0.635	0	"CC07"	"NOP58"
0	0.48915366506067	0.401	0.556	0	"CC07"	"POLR2K"
0	0.44894234060844	0.683	0.847	0	"CC07"	"TAX1BP1"
0	0.424827619843954	0.507	0.657	0	"CC07"	"ITFG1"
0	0.385767257171945	0.372	0.531	0	"CC07"	"CMIP"
0	0.310378376724982	0.352	0.508	0	"CC07"	"ABTB2"
0	0.277025866387588	0.574	0.709	0	"CC07"	"WDR26"
0	0.221809522014151	0.258	0.408	0	"CC07"	"TMEM62"
4.76378855583614e-308	0.613671538978051	0.305	0.452	8.46239399058732e-304	"CC07"	"LRP11"
4.42034601560421e-306	18.3143831388231	0.964	0.988	7.85230266211932e-302	"CC07"	"CTSD"
9.35261366542968e-306	0.505020939791526	0.516	0.654	1.66139829152693e-301	"CC07"	"VMP1"
1.03652887638039e-303	1.25572648318962	0.489	0.622	1.84128989600212e-299	"CC07"	"SERPINA3"
3.89763306214613e-299	0.790081971127214	0.416	0.562	6.92375537159638e-295	"CC07"	"GOLGA5"
5.25309914487738e-297	1.3713799138742	0.567	0.703	9.33160532096018e-293	"CC07"	"PICALM"
2.46714135004033e-295	1.16110664368419	0.788	0.879	4.38262989421165e-291	"CC07"	"BANF1"
2.07671832187741e-294	2.55632295076694	0.443	0.583	3.68908242698304e-290	"CC07"	"TIAL1"
3.19500994275086e-294	3.84746519437082	0.602	0.731	5.67561566230263e-290	"CC07"	"CLTC"
1.95593621253491e-293	0.4971121825998	0.599	0.724	3.47452508794701e-289	"CC07"	"COPA"
4.05097566254166e-293	2.27218175812897	0.523	0.659	7.19615316693901e-289	"CC07"	"BAZ1B"
8.20820207926377e-292	6.0949035798417	0.529	0.662	1.45810501736042e-287	"CC07"	"OGA"
4.65974050832726e-291	5.95288639765493	0.531	0.669	8.27756303899255e-287	"CC07"	"PSMB3"
2.88390298520482e-290	1.36235418343557	0.345	0.487	5.12296526291784e-286	"CC07"	"HIST1H2AC"
2.03548941949544e-286	9.65762096800326	0.354	0.495	3.61584340479169e-282	"CC07"	"DCBLD2"
3.38916512113687e-286	1.6431805798042	0.32	0.462	6.02051292118753e-282	"CC07"	"PTPRU"
2.21999310541617e-284	2.30194017000421	0.501	0.64	3.94359575246129e-280	"CC07"	"NCBP2"
9.22660408174447e-283	51.6794952391862	0.946	0.978	1.63901394908109e-278	"CC07"	"IFITM3"
1.08834526672297e-280	0.932284235264421	0.685	0.796	1.93333653180668e-276	"CC07"	"GRK2"
1.22301088676704e-280	7.87670562808585	0.767	0.866	2.17255653925298e-276	"CC07"	"SMARCE1"
3.03719959835048e-280	5.52962974518721	0.453	0.584	5.3952813665098e-276	"CC07"	"OAS1"
3.98357819691059e-280	7.26590647027358	0.707	0.817	7.07642830899198e-276	"CC07"	"CAP1"
1.39168109072274e-279	1.42175738828827	0.372	0.513	2.47218228955987e-275	"CC07"	"COPB1"
2.79836348297546e-278	6.68297061899793	0.528	0.647	4.97101289115761e-274	"CC07"	"PIM3"
5.36721118960233e-277	4.11181129255891	0.39	0.52	9.53431395720957e-273	"CC07"	"ARHGAP26"
