Genes	Subtype
Mmp11	mCAF(Cords et al- nature com 2023)
Postn	mCAF(Cords et al- nature com 2023)
Col1a1	mCAF(Cords et al- nature com 2023)
Comp	mCAF(Cords et al- nature com 2023)
Col10a1	mCAF(Cords et al- nature com 2023)
Col11a1	mCAF(Cords et al- nature com 2023)
Cfd	iCAF(Cords et al- nature com 2023)
Pla2g2a	iCAF(Cords et al- nature com 2023)
Apod	iCAF(Cords et al- nature com 2023)
Pi16	iCAF(Cords et al- nature com 2023)
Cxcl14	iCAF(Cords et al- nature com 2023)
Myh11	vCAF(Cords et al- nature com 2023)
Rergl	vCAF(Cords et al- nature com 2023)
Adirf	vCAF(Cords et al- nature com 2023)
Acta2	vCAF(Cords et al- nature com 2023)
Bcam	vCAF(Cords et al- nature com 2023)
Mcam	vCAF(Cords et al- nature com 2023)
Rgs5	Pericytes(Cords et al- nature com 2023)
Ndufa4l2	Pericytes(Cords et al- nature com 2023)
Col4a1	Pericytes(Cords et al- nature com 2023)
Higd1b	Pericytes(Cords et al- nature com 2023)
Cox4i2	Pericytes(Cords et al- nature com 2023)
Col4a2	Pericytes(Cords et al- nature com 2023)
Eno1	tCAF(Cords et al- nature com 2023)
Bnip3	tCAF(Cords et al- nature com 2023)
Gapdh	tCAF(Cords et al- nature com 2023)
Pgk1	tCAF(Cords et al- nature com 2023)
Ndrg1	tCAF(Cords et al- nature com 2023)
Tmem158	tCAF(Cords et al- nature com 2023)
Hsph1	hsptCAF(Cords et al- nature com 2023)
Vegfa	hsptCAF(Cords et al- nature com 2023)
Ccnl1	hsptCAF(Cords et al- nature com 2023)
Vmp1	hsptCAF(Cords et al- nature com 2023)
Sat1	hsptCAF(Cords et al- nature com 2023)
Ccl5	ifnCAF(Cords et al- nature com 2023)
Cxcl11	ifnCAF(Cords et al- nature com 2023)
Cxcl10	ifnCAF(Cords et al- nature com 2023)
Cxcl9	ifnCAF(Cords et al- nature com 2023)
Ccl19	ifnCAF(Cords et al- nature com 2023)
Cst1	ifnCAF(Cords et al- nature com 2023)
Cxcr4	apCAF(Cords et al- nature com 2023)
Hla-drb1	apCAF(Cords et al- nature com 2023)
Hla-dra	apCAF(Cords et al- nature com 2023)
Cd74	apCAF(Cords et al- nature com 2023)
Iglc2	apCAF(Cords et al- nature com 2023)
Igkc	apCAF(Cords et al- nature com 2023)
Ccl21	rCAF(Cords et al- nature com 2023)
Igfbp5	rCAF(Cords et al- nature com 2023)
Ccl21	rCAF(Cords et al- nature com 2023)
C2orf40	rCAF(Cords et al- nature com 2023)
Apoe	rCAF(Cords et al- nature com 2023)
Stmn1	dCAF(Cords et al- nature com 2023)
Pttg1	dCAF(Cords et al- nature com 2023)
H2afz	dCAF(Cords et al- nature com 2023)
Cenpf	dCAF(Cords et al- nature com 2023)
Mki67	dCAF(Cords et al- nature com 2023)
Top2a	dCAF(Cords et al- nature com 2023)
