Genes	Subtype
Acta2	general CAF: Li Ding
Fap	general CAF: Li Ding
Pdpn	general CAF: Li Ding
Pdgfra	general CAF: Li Ding
Il6	iCAF: Li Ding
Cxcl1	iCAF: Li Ding
Cxcl12	iCAF: Li Ding
Cxcl2	iCAF: Li Ding
Acta2	myCAF: Li Ding
Thy1	myCAF: Li Ding
Tagln	myCAF: Li Ding
Cd74	apCAF: Li Ding
Saa2	apCAF: Li Ding
Saa1	apCAF: Li Ding
Col1A1	CAF-S1/myCAF:Our Paper
Fap	CAF-S1/myCAF:Our Paper
Pdpn	CAF-S1/myCAF:Our Paper
Pdgfra	CAF-S1:Our Paper
Col1A2	CAF-S1/myCAF:Our Paper
Cxcl12	CAF-S1/iCAF:Our Paper
Gjb	CAF-S1/ecm-myCAF:Our Paper
Antxr1	CAF-S1/ecm-myCAF:Our Paper
Sdc1	CAF-S1/ecm-myCAF:Our Paper
Sema3C	CAF-S1/wound-myCAF:Our Paper
Cd9	CAF-S1/wound-myCAF:Our Paper
Cst1	CAF-S1/TGFB-myCAF:Our Paper
Tgfb1	CAF-S1/TGFB-myCAF:Our Paper
Lamp5	CAF-S1/TGFB-myCAF:Our Paper
Scara5	CAF-S1/IL-iCAF:Our Paper
Dlk1	CAF-S1/IL-iCAF:Our Paper
Adh1B	CAF-S1/detox-iCAF:Our Paper
Gpc3	CAF-S1/detox-iCAF:Our Paper
Rgs5	CAF-S4:Our Paper
Cspg4	CAF-S4:Our Paper
Pdgfrb	CAF-S4:Our Paper
Cd248	CAF-S4:Our Paper
Epas1	CAF-S4:Our Paper
Myl9	myCAF:Adel
Cald1	myCAF:Adel
Mmp11	myCAF:Adel
Hopx	myCAF:Adel
Bgn	myCAF:Adel
Igfbp7	myCAF:Adel
Tpm2	myCAF:Adel
Cthrc1	myCAF:Adel
Acta2	myCAF:Adel
Tagln	myCAF:Adel
Inhba	myCAF:Adel
Col10A1	myCAF:Adel
Tpm1	myCAF:Adel
Postn	myCAF:Adel
Grp	myCAF:Adel
Cst1	myCAF:Adel
C3	iCAF:Adel
Dusp1	iCAF:Adel
Fbln1	iCAF:Adel
Lmna	iCAF:Adel
Clu	iCAF:Adel
Ccdc80	iCAF:Adel
Myc	iCAF:Adel
Efemp1	iCAF:Adel
Has1	iCAF:Adel
Nr4A1	iCAF:Adel
Cfd	iCAF:Adel
Anxa1	iCAF:Adel
Cxcl12	iCAF:Adel
Fgf7	iCAF:Adel
Klf4	iCAF:Adel
Emp1	iCAF:Adel
Gprc5A	iCAF:Adel
Srpx	iCAF:Adel
Mt2A	iCAF:Adel
Medag	iCAF:Adel
Igf1	iCAF:Adel
Mgst1	iCAF:Adel
Mcl1	iCAF:Adel
Cebpd	iCAF:Adel
S100A10	iCAF:Adel
Uap1	iCAF:Adel
Tnxb	iCAF:Adel
Cebpb	iCAF:Adel
Pnrc1	iCAF:Adel
Socs3	iCAF:Adel
Ptgds	iCAF:Adel
Fosb	iCAF:Adel
Nfkbia	iCAF:Adel
Cxcl2	iCAF:Adel
Thbs1	iCAF:Adel
Ccl2	iCAF:Adel
Ogn	iCAF:Adel
Gsn	iCAF:Adel
Dpt	iCAF:Adel
Pla2G2A	iCAF:Adel
Nampt	iCAF:Adel
Itm2A	iCAF:Adel
Rgcc	iCAF:Adel
Jund	iCAF:Adel
Nnmt	iCAF:Adel
Zfp36	iCAF:Adel
Pim1	iCAF:Adel
Cpe	iCAF:Adel
Gfpt2	iCAF:Adel
Sod2	iCAF:Adel
Apod	CAFs MSC iCAF-like:AziziLabs
Dcn	CAFs MSC iCAF-like:AziziLabs
Ptgds	CAFs MSC iCAF-like:AziziLabs
Cfd	CAFs MSC iCAF-like:AziziLabs
Lum	CAFs MSC iCAF-like:AziziLabs
C1S	CAFs MSC iCAF-like:AziziLabs
Cxcl12	CAFs MSC iCAF-like:AziziLabs
C3	CAFs MSC iCAF-like:AziziLabs
Sfrp2	CAFs MSC iCAF-like:AziziLabs
Cxcl14	CAFs MSC iCAF-like:AziziLabs
Ccdc80	CAFs MSC iCAF-like:AziziLabs
Mfap4	CAFs MSC iCAF-like:AziziLabs
Fbln1	CAFs MSC iCAF-like:AziziLabs
Gsn	CAFs MSC iCAF-like:AziziLabs
Ctsk	CAFs MSC iCAF-like:AziziLabs
Serpinf1	CAFs MSC iCAF-like:AziziLabs
Rarres2	CAFs MSC iCAF-like:AziziLabs
Sfrp4	CAFs MSC iCAF-like:AziziLabs
C1R	CAFs MSC iCAF-like:AziziLabs
Igf2	CAFs MSC iCAF-like:AziziLabs
Cyr61	CAFs MSC iCAF-like:AziziLabs
Ctgf	CAFs MSC iCAF-like:AziziLabs
Serping1	CAFs MSC iCAF-like:AziziLabs
Igfbp6	CAFs MSC iCAF-like:AziziLabs
Mmp2	CAFs MSC iCAF-like:AziziLabs
Igfbp4	CAFs MSC iCAF-like:AziziLabs
Col6A2	CAFs MSC iCAF-like:AziziLabs
Meg3	CAFs MSC iCAF-like:AziziLabs
Igf1	CAFs MSC iCAF-like:AziziLabs
Srpx	CAFs MSC iCAF-like:AziziLabs
Col3A1	CAFs MSC iCAF-like:AziziLabs
Aebp1	CAFs MSC iCAF-like:AziziLabs
Col1A1	CAFs myCAF-like:AziziLabs
Col1A2	CAFs myCAF-like:AziziLabs
Col3A1	CAFs myCAF-like:AziziLabs
Lum	CAFs myCAF-like:AziziLabs
Sfrp2	CAFs myCAF-like:AziziLabs
Postn	CAFs myCAF-like:AziziLabs
Mmp11	CAFs myCAF-like:AziziLabs
Cthrc1	CAFs myCAF-like:AziziLabs
Fn1	CAFs myCAF-like:AziziLabs
Sparc	CAFs myCAF-like:AziziLabs
Dcn	CAFs myCAF-like:AziziLabs
Col6A3	CAFs myCAF-like:AziziLabs
Bgn	CAFs myCAF-like:AziziLabs
Col6A2	CAFs myCAF-like:AziziLabs
Col6A1	CAFs myCAF-like:AziziLabs
Ctgf	CAFs myCAF-like:AziziLabs
Aebp1	CAFs myCAF-like:AziziLabs
Col5A2	CAFs myCAF-like:AziziLabs
Vcan	CAFs myCAF-like:AziziLabs
Ctsk	CAFs myCAF-like:AziziLabs
Rarres2	CAFs myCAF-like:AziziLabs
Timp1	CAFs myCAF-like:AziziLabs
Ccdc80	CAFs myCAF-like:AziziLabs
Mmp2	CAFs myCAF-like:AziziLabs
Sfrp4	CAFs myCAF-like:AziziLabs
Cxcl14	CAFs myCAF-like:AziziLabs
Aspn	CAFs myCAF-like:AziziLabs
Thy1	CAFs myCAF-like:AziziLabs
Mfap2	CAFs myCAF-like:AziziLabs
C1S	CAFs myCAF-like:AziziLabs
Serpinf1	CAFs myCAF-like:AziziLabs
Pdgfra	"iCAFs:Chen et al, Bladder paper"
Rgs5	"myCAFs:Chen et al, Bladder paper"
Ly6A	aCAF:Raghu_Kalluri
Ly6C1	aCAF:Raghu_Kalluri
Clec3B	aCAF:Raghu_Kalluri
Col14A1	aCAF:Raghu_Kalluri
Dpt	aCAF:Raghu_Kalluri
Sfrp4	aCAF:Raghu_Kalluri
Gsn	aCAF:Raghu_Kalluri
Efemp1	aCAF:Raghu_Kalluri
Ogn	aCAF:Raghu_Kalluri
Plpp3	aCAF:Raghu_Kalluri
Tnxb	aCAF:Raghu_Kalluri
C3	aCAF:Raghu_Kalluri
Rps28	aCAF:Raghu_Kalluri
Rpl35	aCAF:Raghu_Kalluri
Rpl39	aCAF:Raghu_Kalluri
Rps29	aCAF:Raghu_Kalluri
C4B	aCAF:Raghu_Kalluri
Rpl37A	aCAF:Raghu_Kalluri
Fn1	aCAF:Raghu_Kalluri
Ifi27L2A	aCAF:Raghu_Kalluri
Rpl22L1	aCAF:Raghu_Kalluri
Rpl38	aCAF:Raghu_Kalluri
Vegfd	aCAF:Raghu_Kalluri
Ifi205	aCAF:Raghu_Kalluri
Ackr3	aCAF:Raghu_Kalluri
Pcolce2	aCAF:Raghu_Kalluri
Sfrp2	aCAF:Raghu_Kalluri
Adamts5	aCAF:Raghu_Kalluri
Rpl41	aCAF:Raghu_Kalluri
Cd248	aCAF:Raghu_Kalluri
Svep1	aCAF:Raghu_Kalluri
