Genes	Subtype
Wfdc3	BEST2 goblet cells
Wfdc2	BEST2 goblet cells
Klk15	BEST2 goblet cells
Klk1	BEST2 goblet cells
Best4	Best4 Enterocytes
Otop2	BEST4 enterocytes
Car7	BEST4 enterocytes
Car2	colonocytes
Slc26a2	colonocytes- Immature Enterocytes 2
Fabp1	colonocytes- Immature Enterocytes 2
Cdc25c	Cycling TA
Rbp2	Enterocytes
Slc26a3	Enterocytes
Fabp2	Enterocytes
Epcam	Enterocytes
Anpep	Enterocytes
Scgn	Enteroendocrine
Ccl7	Enteroendocrine
Ccl13	Enteroendocrine
Chga	Enteroendocrine cells
Neurod1	enteroendocrine cells
Chgb	enteroendocrine cells
Muc2	Goblet cells
Zg16	Goblet cells
Tff1	Goblet cells
Spdef	Goblet cells
Fcgbp	Goblet cells
Clca1	Goblet cells
Car1	Immature Enterocytes 2
Ccl20	Microfold cells
Tnfrsf11a	Microfold cells
Spib	Microfold cells
Gp2	Microfold cells
Reg3a	Paneth
Defa6	Paneth
Defa5	Paneth
Lgr5	Stem cells
Ascl2	Stem cells
Smoc2	Stem cells
Rgmb	Stem cells
Olfm4	Stem cells
Lefty2	Stem cells
Lefty1	Stem cells
Top2a	TA: transit-amplifying
Pcna	TA: transit-amplifying
Mki67	TA: transit-amplifying
Trpm5	Tuft cells
Pou2f3	Tuft cells
Lrmp	Tuft cells
Irag2	Tuft cells
Hck	Tuft cells
Col1a1	Fibroblast
Col1a2	Fibroblast
Dcn	Fibroblast
Col3a1	Fibroblast
Rgs5	Fibroblast
Tagln	Fibroblast
Pecam1	Endothelial 
Ccl21a	Endothelial 
Cldn5	Endothelial 
Plvap	Endothelial 
Marco	Myeloid
Cd68	Myeloid
Fcgr4	Myeloid
C1qa	Myeloid/TAMS
C1qb	Myeloid/TAMS
Lyz2	Myeloid
Lyz1	Myeloid
Cd4	T-cell
Cd8a	T-cell
Cd8b1	T-cell
Cd3d	T-cell
Cd3g	T-cell
Tff1	T-cell
Foxp3	T-cell
Igha	B cells
Mzb1	B cells
Sell	B cells
Cd19	B cells
Cd74	B cells
Ccl22	B cells
Igkc	Plasma
Jchain	Plasma
S100a9	Neutrophil/Monocytes
S100a8	Neutrophil/Monocytes
Fcer1g	Neutrophil/Monocytes
Fcgr3	Neutrophil/Monocytes
Cxcr4	Neutrophil/Monocytes
Kit	MAST cell
Krt18	Epithelium
Krt8	Epithelium
Krt7	Epithelium
Guca2a	Epithelium
Krt19	Epithelium
Fabbp2	Epithelium
Krtr20	Epithelium
Krt19	Tumor: Li Ding
Krt8	Tumor: Li Ding
Krt18	Tumor: Li Ding
Krt17	Tumor: Li Ding
Krt7	Tumor: Li Ding
Krt5	Tumor: Li Ding
Krt6a	Tumor: Li Ding
Krt14	Tumor: Li Ding
Epcam	Tumor: Li Ding
Tacstd2	Tumor: Li Ding
Anxa2	Tumor: Li Ding
S100a10	Tumor: Li Ding
S100a11	Tumor: Li Ding
S100a16	Tumor: Li Ding
Tpm1	Tumor: Li Ding
Tff1	Tumor: Li Ding
S100a6	Tumor: Li Ding
Agr2	Tumor: Li Ding
C19orf33	Tumor: Li Ding
Ins	Islet: Li Ding
Gcg	Islet: Li Ding
Sst	Islet: Li Ding
Ghr	Islet: Li Ding
Ppy	Islet: Li Ding
Gck	Islet: Li Ding
Pcsk1	Islet: Li Ding
Pcsk2	Islet: Li Ding
Chga	Islet: Li Ding
Chgb	Islet: Li Ding
Syp	Islet: Li Ding
Kcnj11	Islet: Li Ding
Ctrb1	Acinar: Li Ding
Cela3a	Acinar: Li Ding
Cela3b	Acinar: Li Ding
Ctrb2	Acinar: Li Ding
Pla2g1b	Acinar: Li Ding
Prss2	Acinar: Li Ding
Spink1	Acinar: Li Ding
Clps	Acinar: Li Ding
Cpa1	Acinar: Li Ding
Prss1	Acinar: Li Ding
Cpa2	Acinar: Li Ding
Reg1a	Acinar: Li Ding
Pnlip	Acinar: Li Ding
Sycn	Acinar: Li Ding
Pnliprp1	Acinar: Li Ding
Ctrc	Acinar: Li Ding
Klk1	Acinar: Li Ding
Cela2a	Acinar: Li Ding
Cpb1	Acinar: Li Ding
Vwf	Endothelial : Li Ding
Pecam1	Endothelial : Li Ding
Flt4	Endothelial : Li Ding
Flt1	Endothelial : Li Ding
Flt3	Endothelial : Li Ding
Kdr	Endothelial : Li Ding
Plvap	Endothelial : Li Ding
Angpt2	Endothelial : Li Ding
Trim24	Endothelial : Li Ding
Acta2	Endothelial : Li Ding
Timp1	Fibroblast: Li Ding
Fn1	Fibroblast: Li Ding
Postn	Fibroblast: Li Ding
Acta2	Fibroblast: Li Ding
Bst2	Fibroblast: Li Ding
Ly6d	Fibroblast: Li Ding
Col6a1	Fibroblast: Li Ding
Slc20a1	Fibroblast: Li Ding
Col6a2	Fibroblast: Li Ding
Krt16	Fibroblast: Li Ding
Cd9	Fibroblast: Li Ding
S100a4	Fibroblast: Li Ding
Emp1	Fibroblast: Li Ding
Lrrc8a	Fibroblast: Li Ding
Epcam	Fibroblast: Li Ding
Pdpn	Fibroblast: Li Ding
Itgb1	Fibroblast: Li Ding
Pdgfra	Fibroblast: Li Ding
Thy1	Fibroblast: Li Ding
Hbd	erythrocyte: Li Ding
Gypa	erythrocyte: Li Ding
Hba1	erythrocyte: Li Ding
Hba2	erythrocyte: Li Ding
Ca1	erythrocyte: Li Ding
Hbb	erythrocyte: Li Ding
Brsk1	erythrocyte: Li Ding
Sdc1	plasma: Li Ding
Ighg1	plasma: Li Ding
Ighg3	plasma: Li Ding
Ighg4	plasma: Li Ding
Cd19	B cells: Li Ding
Ms4a1	B cells: Li Ding
Cd79a	B cells: Li Ding
Cd79b	B cells: Li Ding
Cd83	B cells: Li Ding
Cd86	B cells: Li Ding
Cd8b	CD8 T cells: Li Ding
Cd8a	CD8 T cells: Li Ding
Cd3e	CD8 T cells: Li Ding
Cd3d	CD8 T cells: Li Ding
Cd8b	CD4 T cells: Li Ding
Cd8a	CD4 T cells: Li Ding
Cd4	CD4 T cells: Li Ding
Xcl2	NK: Li Ding
Xcl1	NK: Li Ding
Spon2	NK: Li Ding
Klrf1	NK: Li Ding
Kir2dl3	NK: Li Ding
Il2rb	NK: Li Ding
Hopx	NK: Li Ding
Clic3	NK: Li Ding
Cd7	NK: Li Ding
Klrb1	NK: Li Ding
Klrd1	NK: Li Ding
Gzma	NK: Li Ding
Prf1	NK: Li Ding
Cd160	NK: Li Ding
Ncam1	NK: Li Ding
Fcgr3a	NK: Li Ding
Fcer1a	Mast: Li Ding
Kit	Mast: Li Ding
Fcer2	Mast: Li Ding
Enpp3	Mast: Li Ding
Cd1c	DC: Li Ding
Cd1a	DC: Li Ding
Flt3	DC: Li Ding
Zbtb46	DC: Li Ding
Xcr1	DC: Li Ding
Clec9a	DC: Li Ding
Irf8	DC: Li Ding
Flt3	DC: Li Ding
Batf3	DC: Li Ding
Ly6g6d	Neutrophils: Li Ding
Mpo	Neutrophils: Li Ding
Fut4	Neutrophils: Li Ding
Fcgr3a	Neutrophils: Li Ding
Itgam	Macrophages: Li Ding
Lgals3	Macrophages: Li Ding
Cd68	Macrophages: Li Ding
Cd163	Macrophages: Li Ding
Lyz	Macrophages: Li Ding
Adgre1	Macrophages: Li Ding
Lamp2	Macrophages: Li Ding
Cd14	Monocytes: Li Ding
Fcgr3a	Monocytes: Li Ding
Fcgr1a	Monocytes: Li Ding
Ikzf2	Tregs: Li Ding
Tnfrsf18	Tregs: Li Ding
Foxp3	Tregs: Li Ding
Ctla4	Tregs: Li Ding
Il7r	Tregs: Li Ding
Il2ra	Tregs: Li Ding
Gzmh	cytotoxic T cell: Li Ding
Gzmk	cytotoxic T cell: Li Ding
Gzmb	cytotoxic T cell: Li Ding
Gzma	cytotoxic T cell: Li Ding
Prf1	cytotoxic T cell: Li Ding
Ifng	cytotoxic T cell: Li Ding
Faslg	cytotoxic T cell: Li Ding
Lamp1	cytotoxic T cell: Li Ding
Cd8a	cytotoxic T cell: Li Ding
Cd8b	cytotoxic T cell: Li Ding
Cd3e	cytotoxic T cell: Li Ding
Cd3d	cytotoxic T cell: Li Ding
Vsir	exhausted T cell: Li Ding
Tigit	exhausted T cell: Li Ding
Icos	exhausted T cell: Li Ding
Eomes	exhausted T cell: Li Ding
Havcr2	exhausted T cell: Li Ding
Pdcd1	exhausted T cell: Li Ding
Btla	exhausted T cell: Li Ding
Cd244	exhausted T cell: Li Ding
Lag3	exhausted T cell: Li Ding
Cd160	exhausted T cell: Li Ding
Ctla4	exhausted T cell: Li Ding
Cd96	exhausted T cell: Li Ding
Mki67	proliferation marker: Li Ding
Acta2	general CAF: Li Ding
Fap	general CAF: Li Ding
Pdpn	general CAF: Li Ding
Pdgfra	general CAF: Li Ding
Il6	iCAF: Li Ding
Cxcl1	iCAF: Li Ding
Cxcl12	iCAF: Li Ding
Cxcl2	iCAF: Li Ding
Acta2	myCAF: Li Ding
Thy1	myCAF: Li Ding
Tagln	myCAF: Li Ding
Cd74	apCAF: Li Ding
Saa2	apCAF: Li Ding
Saa1	apCAF: Li Ding
Marco	Myeloid
Apoe1	Myeloid
Peng Classification	NULL
Krt19	ductal cell 1: Peng
Krt7	ductal cell 1: Peng
Tspan8	ductal cell 1: Peng
Slpi	ductal cell 1: Peng
Prss1	acinar: Peng
Ctrb1	acinar: Peng
Ctrb2	acinar: Peng
Reg1b	acinar: Peng
Chgb	endocrine cell: Peng
Chga	endocrine cell: Peng
Ins	endocrine cell: Peng
Iapp	endocrine cell: Peng
Rgs5	stellate cell: Peng
Acta2	stellate cell: Peng
Pdgfrb	stellate cell: Peng
Adirf	stellate cell: Peng
Lum	fibroblast: Peng
Dcn	fibroblast: Peng
Col1a1	fibroblast: Peng
Cdh5	endothelial cell: Peng
Plvap	endothelial cell: Peng
Vwf	endothelial cell: Peng
Cldn5	endothelial cell: Peng
Aif1	macrophage: Peng
Cd64	macrophage: Peng
Cd14	macrophage: Peng
Cd68	macrophage: Peng
Cd3d	T cell: Peng
Cd3e	T cell: Peng
Cd4	T cell: Peng
Cd8a	T cell: Peng
Ms4a1	B cells: Peng
Cd79a	B cells: Peng
Cd79b	B cells: Peng
Cd52	B cells: Peng
Clu	clu+ intestenial revsc : Peng
Https://www.nature.com/articles/s41586-019-1154-y	NULL
Stmn1	SSC2a:Alex
Hells	SSC2a:Alex
Tuba1b	SSC2a:Alex
Rrm2	SSC2a:Alex
Rps20	SSC2a:Alex
Rps26	SSC2a:Alex
Rplp1	SSC2a:Alex
Gm10073	SSC2a:Alex
