Genes	Subtype
IGHA	B cells
MZB1	B cells
SELL	B cells
CD19	B cells
CD74	B cells
CCL22	B cells
CD19	B cells: Li Ding
MS4A1	B cells: Li Ding
CD79A	B cells: Li Ding
CD79B	B cells: Li Ding
CD83	B cells: Li Ding
CD86	B cells: Li Ding
MS4A1	B cells: Peng
CD79A	B cells: Peng
CD79B	B cells: Peng
CD52	B cells: Peng
CD19	B cells:Science
MS4A1	B cells:Science
CD79A	B cells:Science
CD79A	B cells:Our Paper
MS4A1	B cells : Peng
CD79A	B cells : Peng
CD79B	B cells : Peng
CD52	B cells : Peng
MS4A1	B cells memory:AziziLabs
CD79A	B cells memory:AziziLabs
CD83	B cells memory:AziziLabs
CD37	B cells memory:AziziLabs
BANK1	B cells memory:AziziLabs
HLA-DRA	B cells memory:AziziLabs
CD74	B cells memory:AziziLabs
HLA-DQB1	B cells memory:AziziLabs
VPREB3	B cells memory:AziziLabs
IGHA1	B cells memory:AziziLabs
HLA-DQA1	B cells memory:AziziLabs
IGHM	B cells memory:AziziLabs
CD79B	B cells memory:AziziLabs
HLA-DPB1	B cells memory:AziziLabs
HLA-DQA2	B cells memory:AziziLabs
IRF8	B cells memory:AziziLabs
HLA-DPA1	B cells memory:AziziLabs
ARHGAP24	B cells memory:AziziLabs
ADAM28	B cells memory:AziziLabs
LINC00926	B cells memory:AziziLabs
LY9	B cells memory:AziziLabs
HLA-DRB5	B cells memory:AziziLabs
POU2F2	B cells memory:AziziLabs
MEF2C	B cells memory:AziziLabs
RALGPS2	B cells memory:AziziLabs
LAPTM5	B cells memory:AziziLabs
CD52	B cells memory:AziziLabs
FCMR	B cells memory:AziziLabs
CD19	B cells memory:AziziLabs
SMIM14	B cells memory:AziziLabs
CD69	B cells memory:AziziLabs
NCF1	B cells memory:AziziLabs
LTB	B cells memory:AziziLabs
FCRLA	B cells memory:AziziLabs
CD79A	B cells naive:AziziLabs
TCL1A	B cells naive:AziziLabs
MS4A1	B cells naive:AziziLabs
CD37	B cells naive:AziziLabs
CD74	B cells naive:AziziLabs
LINC00926	B cells naive:AziziLabs
HLA-DQB1	B cells naive:AziziLabs
HLA-DRA	B cells naive:AziziLabs
CD79B	B cells naive:AziziLabs
VPREB3	B cells naive:AziziLabs
BANK1	B cells naive:AziziLabs
IGHD	B cells naive:AziziLabs
FCER2	B cells naive:AziziLabs
HVCN1	B cells naive:AziziLabs
HLA-DPB1	B cells naive:AziziLabs
ADAM28	B cells naive:AziziLabs
FCMR	B cells naive:AziziLabs
CD83	B cells naive:AziziLabs
LAPTM5	B cells naive:AziziLabs
NCF1	B cells naive:AziziLabs
BACH2	B cells naive:AziziLabs
BTG1	B cells naive:AziziLabs
HLA-DPA1	B cells naive:AziziLabs
CD52	B cells naive:AziziLabs
HLA-DQA1	B cells naive:AziziLabs
FAM129C	B cells naive:AziziLabs
IGHM	B cells naive:AziziLabs
CD72	B cells naive:AziziLabs
SELL	B cells naive:AziziLabs
HLA-DMB	B cells naive:AziziLabs
POU2F2	B cells naive:AziziLabs
STAG3	B cells naive:AziziLabs
CD19	B cells naive:AziziLabs
MEF2C	B cells naive:AziziLabs
RCSD1	B cells naive:AziziLabs
STK17A	B cells naive:AziziLabs
LIMD2	B cells naive:AziziLabs
IL4R	B cells naive:AziziLabs
TXNIP	B cells naive:AziziLabs
IRF8	B cells naive:AziziLabs
TNFRSF13C	B cells naive:AziziLabs
HLA-DMA	B cells naive:AziziLabs
HLA-DQA2	B cells naive:AziziLabs
SNX2	B cells naive:AziziLabs
HLA-DRB5	B cells naive:AziziLabs
RALGPS2	B cells naive:AziziLabs
CD79A	"Follicular B cells :Chen et al, Bladder paper"
MS4A1	"Follicular B cells :Chen et al, Bladder paper"
CD27	Pro-B cells:SCTyper
IgD	Pro-B cells:SCTyper
CD24	Pro-B cells:SCTyper
PTPRC	Pro-B cells:SCTyper
PAX5	Pro-B cells:SCTyper
CD24	Pro-B cells:SCTyper
CD38	Pro-B cells:SCTyper
CD79A	Pro-B cells:SCTyper
DNTT	Pro-B cells:SCTyper
C10orf10	Pro-B cells:SCTyper
VPREB1	Pro-B cells:SCTyper
ARPP21	Pro-B cells:SCTyper
CD99	Pro-B cells:SCTyper
IGLL1	Pro-B cells:SCTyper
CD9	Pro-B cells:SCTyper
CD79B	Pro-B cells:SCTyper
TCL1A	Pro-B cells:SCTyper
IGLL5	Pro-B cells:SCTyper
HLA-DQA1	Pro-B cells:SCTyper
HLA-DQB1	Pro-B cells:SCTyper
VPREB3	Pro-B cells:SCTyper
IGLL5	Pro-B cells:SCTyper
CD19	Pre-B cells:SCTyper
CD27	Pre-B cells:SCTyper
IgD	Pre-B cells:SCTyper
CD24	Pre-B cells:SCTyper
PTPRC	Pre-B cells:SCTyper
PAX5	Pre-B cells:SCTyper
CD24	Pre-B cells:SCTyper
CD38	Pre-B cells:SCTyper
CD79A	Pre-B cells:SCTyper
NSMCE1	Pre-B cells:SCTyper
PCDH9	Pre-B cells:SCTyper
ACSM3	Pre-B cells:SCTyper
CCDC191	Pre-B cells:SCTyper
TCL1A	Pre-B cells:SCTyper
CD79B	Pre-B cells:SCTyper
TCL1A	Pre-B cells:SCTyper
IGLL5	Pre-B cells:SCTyper
HLA-DQA1	Pre-B cells:SCTyper
HLA-DQB1	Pre-B cells:SCTyper
VPREB3	Pre-B cells:SCTyper
IGLL5	Pre-B cells:SCTyper
CD19	Naive B cells:SCTyper
IgD	Naive B cells:SCTyper
CD38	Naive B cells:SCTyper
CD24	Naive B cells:SCTyper
CD20	Naive B cells:SCTyper
MS4A1	Naive B cells:SCTyper
PTPRC	Naive B cells:SCTyper
PAX5	Naive B cells:SCTyper
CD24	Naive B cells:SCTyper
CD38	Naive B cells:SCTyper
CD79A	Naive B cells:SCTyper
JCHAIN	Naive B cells:SCTyper
SSR4	Naive B cells:SCTyper
FKBP11	Naive B cells:SCTyper
SEC11C	Naive B cells:SCTyper
DERL3	Naive B cells:SCTyper
PRDX4	Naive B cells:SCTyper
IGLL5	Naive B cells:SCTyper
CD79B	Naive B cells:SCTyper
TCL1A	Naive B cells:SCTyper
IGLL5	Naive B cells:SCTyper
HLA-DQA1	Naive B cells:SCTyper
HLA-DQB1	Naive B cells:SCTyper
CD138	Naive B cells:SCTyper
CD38	Naive B cells:SCTyper
VPREB3	Naive B cells:SCTyper
IGLL5	Naive B cells:SCTyper
CD19	Memory B cells:SCTyper
CD27	Memory B cells:SCTyper
IgD	Memory B cells:SCTyper
CD38	Memory B cells:SCTyper
CD24	Memory B cells:SCTyper
CD20	Memory B cells:SCTyper
MS4A1	Memory B cells:SCTyper
PTPRC	Memory B cells:SCTyper
PAX5	Memory B cells:SCTyper
CD24	Memory B cells:SCTyper
CD38	Memory B cells:SCTyper
CD79A	Memory B cells:SCTyper
JCHAIN	Memory B cells:SCTyper
SSR4	Memory B cells:SCTyper
FKBP11	Memory B cells:SCTyper
SEC11C	Memory B cells:SCTyper
DERL3	Memory B cells:SCTyper
PRDX4	Memory B cells:SCTyper
IGLL5	Memory B cells:SCTyper
CD79B	Memory B cells:SCTyper
TCL1A	Memory B cells:SCTyper
IGLL5	Memory B cells:SCTyper
HLA-DQA1	Memory B cells:SCTyper
HLA-DQB1	Memory B cells:SCTyper
CD138	Memory B cells:SCTyper
CD38	Memory B cells:SCTyper
CD27	Memory B cells:SCTyper
VPREB3	Memory B cells:SCTyper
IGLL5	Memory B cells:SCTyper
CD19	Plasma B cells:SCTyper
CD27	Plasma B cells:SCTyper
IgD	Plasma B cells:SCTyper
CD38	Plasma B cells:SCTyper
CD24	Plasma B cells:SCTyper
CD20	Plasma B cells:SCTyper
MS4A1	Plasma B cells:SCTyper
PTPRC	Plasma B cells:SCTyper
PAX5	Plasma B cells:SCTyper
CD24	Plasma B cells:SCTyper
