Genes	Subtype
CD4	T-cell
CD8A	T-cell
CD8B1	T-cell
CD3D	T-cell
CD3G	T-cell
TFF1	T-cell
FOXP3	T-cell
CD8B	CD8 T cells: Li Ding
CD8A	CD8 T cells: Li Ding
CD3E	CD8 T cells: Li Ding
CD3D	CD8 T cells: Li Ding
CD8B	CD4 T cells: Li Ding
CD8A	CD4 T cells: Li Ding
CD4	CD4 T cells: Li Ding
XCL2	NK: Li Ding
XCL1	NK: Li Ding
SPON2	NK: Li Ding
KLRF1	NK: Li Ding
KIR2DL3	NK: Li Ding
IL2RB	NK: Li Ding
HOPX	NK: Li Ding
CLIC3	NK: Li Ding
CD7	NK: Li Ding
KLRB1	NK: Li Ding
KLRD1	NK: Li Ding
GZMA	NK: Li Ding
PRF1	NK: Li Ding
CD160	NK: Li Ding
NCAM1	NK: Li Ding
FCGR3A	NK: Li Ding
CD1C	DC: Li Ding
CD1A	DC: Li Ding
FLT3	DC: Li Ding
ZBTB46	DC: Li Ding
XCR1	DC: Li Ding
CLEC9A	DC: Li Ding
IRF8	DC: Li Ding
FLT3	DC: Li Ding
BATF3	DC: Li Ding
IKZF2	Tregs: Li Ding
TNFRSF18	Tregs: Li Ding
FOXP3	Tregs: Li Ding
CTLA4	Tregs: Li Ding
IL7R	Tregs: Li Ding
IL2RA	Tregs: Li Ding
GZMH	cytotoxic T cell: Li Ding
GZMK	cytotoxic T cell: Li Ding
GZMB	cytotoxic T cell: Li Ding
GZMA	cytotoxic T cell: Li Ding
PRF1	cytotoxic T cell: Li Ding
IFNG	cytotoxic T cell: Li Ding
FASLG	cytotoxic T cell: Li Ding
LAMP1	cytotoxic T cell: Li Ding
CD8A	cytotoxic T cell: Li Ding
CD8B	cytotoxic T cell: Li Ding
CD3E	cytotoxic T cell: Li Ding
CD3D	cytotoxic T cell: Li Ding
VSIR	exhausted T cell: Li Ding
TIGIT	exhausted T cell: Li Ding
ICOS	exhausted T cell: Li Ding
EOMES	exhausted T cell: Li Ding
HAVCR2	exhausted T cell: Li Ding
PDCD1	exhausted T cell: Li Ding
BTLA	exhausted T cell: Li Ding
CD244	exhausted T cell: Li Ding
LAG3	exhausted T cell: Li Ding
CD160	exhausted T cell: Li Ding
CTLA4	exhausted T cell: Li Ding
CD96	exhausted T cell: Li Ding
CD3D	T cell: Peng
CD3E	T cell: Peng
CD4	T cell: Peng
CD8A	T cell: Peng
CD3D	T cell:Science
CD3E	T cell:Science
CD3G	T cell:Science
NCAM1	NK cells:Science
KLRF1	NK cells:Science
NCR1	NK cells:Science
KLRC1	NK cells:Science
CD8A	CD8_Tcells:Science
CD8B	CD8_Tcells:Science
CD8A	CD8_Tcm::Science
CD8B	CD8_Tcm::Science
CTSW	CD8_Tcm::Science
GZMK	CD8_Tcm::Science
IL2RB	CD8_Tcm::Science
SH2D1A	CD8_Tcm::Science
GPR171	CD8_Tcm::Science
CRTAM	CD8_Tcm::Science
USP36	CD8_Tcm::Science
TMEM30B	CD8_Tcm::Science
DHX8	CD8_Tcm::Science
GZMH	CD8_Tcm::Science
GZMK	CD8_Tcm::Science
LAG3	CD8_Tcm::Science
ZAP70	CD8_Tcm::Science
COLQ	CD8_Tcm::Science
RGS9	CD8_Tcm::Science
CXCR6	CD8_Tcm::Science
PVRIG	CD8_Tcm::Science
PYHIN1	CD8_Tcm::Science
CD2	CD4_Tcells:Science
CD3D	CD4_Tcells:Science
CD3E	CD4_Tcells:Science
CD3G	CD4_Tcells:Science
CD5	CD4_Tcells:Science
CD7	CD4_Tcells:Science
CD27	CD4_Tcells:Science
CD40LG	CD4_Tcells:Science
CTLA4	CD4_Tcells:Science
GOLGA4	CD4_Tcells:Science
TRAF1	CD4_Tcells:Science
CD96	CD4_Tcells:Science
ICOS	CD4_Tcells:Science
GPR171	CD4_Tcells:Science
TRAT1	CD4_Tcells:Science
FOXP3	CD4_Tcells:Science
SIRPG	CD4_Tcells:Science
RIC3	CD4_Tcells:Science
CCR4	Tregs:Science
CCR8	Tregs:Science
CTLA4	Tregs:Science
GPR25	Tregs:Science
IL2RA	Tregs:Science
KCNA2	Tregs:Science
LAIR2	Tregs:Science
HS3ST3B1	Tregs:Science
MCF2L2	Tregs:Science
FOXP3	Tregs:Science
CD27	CD4_naive_Tcells:Science
CLC	CD4_naive_Tcells:Science
CTSW	CD4_naive_Tcells:Science
DNAJB1	CD4_naive_Tcells:Science
RBL2	CD4_naive_Tcells:Science
HAUS3	CD4_naive_Tcells:Science
ANKRD55	CD4_naive_Tcells:Science
ZNF394	CD4_naive_Tcells:Science
CHMP7	CD4_naive_Tcells:Science
CD28	CD4_memory_Tcells:Science
CD40LG	CD4_memory_Tcells:Science
CCR4	CD4_memory_Tcells:Science
CTLA4	CD4_memory_Tcells:Science
GPR15	CD4_memory_Tcells:Science
GZMA	CD4_memory_Tcells:Science
GZMK	CD4_memory_Tcells:Science
HMGB2	CD4_memory_Tcells:Science
PDCD1	CD4_memory_Tcells:Science
RBL2	CD4_memory_Tcells:Science
CD226	CD4_memory_Tcells:Science
GPR171	CD4_memory_Tcells:Science
TRAT1	CD4_memory_Tcells:Science
UBASH3A	CD4_memory_Tcells:Science
ARHGAP15	CD4_memory_Tcells:Science
CD40LG	CD4_Tcm:Science
CCR4	CD4_Tcm:Science
CCR8	CD4_Tcm:Science
CTLA4	CD4_Tcm:Science
DAB1	CD4_Tcm:Science
ERN1	CD4_Tcm:Science
GPR15	CD4_Tcm:Science
DNAJB1	CD4_Tcm:Science
KRT1	CD4_Tcm:Science
POU6F1	CD4_Tcm:Science
TPO	CD4_Tcm:Science
CDC14A	CD4_Tcm:Science
TRADD	CD4_Tcm:Science
DLEC1	CD4_Tcm:Science
ICOS	CD4_Tcm:Science
TRAT1	CD4_Tcm:Science
FXYD7	CD4_Tcm:Science
FBXL8	CD4_Tcm:Science
SIRPG	CD4_Tcm:Science
SLC4A5	CD4_Tcm:Science
ANKRD55	CD4_Tcm:Science
OBSCN	CD4_Tcm:Science
CD40LG	CD4_Tcm:Science
CCR6	CD4_Tcm:Science
KLRB1	CD4_Tcm:Science
LTK	CD4_Tcm:Science
MCF2L2	CD4_Tcm:Science
GALNT8	CD4_Tcm:Science
TRAT1	CD4_Tcm:Science
CD1A	cDC:Science
CD1B	cDC:Science
CD1C	cDC:Science
CD1E	cDC:Science
CD80	cDC:Science
CD86	cDC:Science
FCER1A	cDC:Science
GFRA2	cDC:Science
CCL13	cDC:Science
CCL17	cDC:Science
CLEC10A	cDC:Science
CD209	cDC:Science
KCNK13	cDC:Science
ALOX15	cDC:Science
F13A1	cDC:Science
CCL13	cDC:Science
CCL17	cDC:Science
CCL18	cDC:Science
CCL23	cDC:Science
CCL24	cDC:Science
CD209	cDC:Science
C1QA	cDC:Science
C1QB	cDC:Science
CD80	cDC:Science
FPR3	cDC:Science
HLA-DQA1	cDC:Science
IL12B	cDC:Science
CCL13	cDC:Science
CCL17	cDC:Science
CCL19	cDC:Science
CCL22	cDC:Science
CD3D	T cells:Our Paper
CD1C	DC:Our Paper
FOXP3	Tregs:Our Paper
LAG3	Tregs:Our Paper
CTLA4	Tregs:Our Paper
PD-1	Tregs:Our Paper
CCR7	Memory cell -t:Our Paper
SELL	Memory cell -t:Our Paper
TCF7	Memory cell -t:Our Paper
CXCL13	Acrtivated T:Our Paper
