Genes	Subtypes
TOX2	Tfh: CD4-follicular-helper :santiago-Nat com 2021
MAF	Tfh: CD4-follicular-helper :santiago-Nat com 2021
TBC1D4	Tfh: CD4-follicular-helper :santiago-Nat com 2021
TNFRSF4	Tfh: CD4-follicular-helper :santiago-Nat com 2021
CD4	Tfh: CD4-follicular-helper :santiago-Nat com 2021
UCP2	Tfh: CD4-follicular-helper :santiago-Nat com 2021
CORO1B	Tfh: CD4-follicular-helper :santiago-Nat com 2021
TIGIT	Tfh: CD4-follicular-helper :santiago-Nat com 2021
BATF	Tfh: CD4-follicular-helper :santiago-Nat com 2021
NR3C1	Tfh: CD4-follicular-helper :santiago-Nat com 2021
ITM2A	Tfh: CD4-follicular-helper :santiago-Nat com 2021
TNFRSF18	Tfh: CD4-follicular-helper :santiago-Nat com 2021
LIMS1	Tfh: CD4-follicular-helper :santiago-Nat com 2021
ICA1	Tfh: CD4-follicular-helper :santiago-Nat com 2021
CTSB	Tfh: CD4-follicular-helper :santiago-Nat com 2021
SH2D1A	Tfh: CD4-follicular-helper :santiago-Nat com 2021
CTLA4	Tfh: CD4-follicular-helper :santiago-Nat com 2021
MAGEH1	Tfh: CD4-follicular-helper :santiago-Nat com 2021
SESN3	Tfh: CD4-follicular-helper :santiago-Nat com 2021
ICOS	Tfh: CD4-follicular-helper :santiago-Nat com 2021
NMB	Tfh: CD4-follicular-helper :santiago-Nat com 2021
CXCL13	Tfh: CD4-follicular-helper :santiago-Nat com 2021
CD200	Tfh: CD4-follicular-helper :santiago-Nat com 2021
BTLA	Tfh: CD4-follicular-helper :santiago-Nat com 2021
PTPN13	Tfh: CD4-follicular-helper :santiago-Nat com 2021
CCR7	CD8_NaiveLike:santiago-Nat com 2021
IL7R	CD8_NaiveLike:santiago-Nat com 2021
SELL	CD8_NaiveLike:santiago-Nat com 2021
TCF7	CD8_NaiveLike:santiago-Nat com 2021
TXK	CD8_NaiveLike:santiago-Nat com 2021
S1PR1	CD8_NaiveLike:santiago-Nat com 2021
LEF1	CD8_NaiveLike:santiago-Nat com 2021
SATB1	CD8_NaiveLike:santiago-Nat com 2021
GZMA	CD8_EffectorMemory:santiago-Nat com 2021
