Genes	Subtype
PECAM1	Endothelial 
CCL21A	Endothelial 
CLDN5	Endothelial 
PLVAP	Endothelial 
VWF	Endothelial : Li Ding
PECAM1	Endothelial : Li Ding
FLT4	Endothelial : Li Ding
FLT1	Endothelial : Li Ding
FLT3	Endothelial : Li Ding
KDR	Endothelial : Li Ding
PLVAP	Endothelial : Li Ding
ANGPT2	Endothelial : Li Ding
TRIM24	Endothelial : Li Ding
ACTA2	Endothelial : Li Ding
CDH5	endothelial cell: Peng
PLVAP	endothelial cell: Peng
VWF	endothelial cell: Peng
CLDN5	endothelial cell: Peng
CLDN5	endothelial cell:Science
PECAM1	endothelial cell:Science
CD34	endothelial cell:Science
FLT1	endothelial cell:Science
VWF	endothelial cell:Science
ENG	endothelial cell:Science
CDH5	endothelial cell:Science
FLT4	lymphatic endothelial cell
HYAL2	lymphatic endothelial cell
CLEC1A	lymphatic endothelial cell
SOX18	lymphatic endothelial cell
ROBO4	lymphatic endothelial cell
CXORF36	lymphatic endothelial cell
MYCT1	lymphatic endothelial cell
KANK3	lymphatic endothelial cell
ACVRL1	Microvascular endothelial cell
CETP	Microvascular endothelial cell
RANGAP1	Microvascular endothelial cell
SELE	Microvascular endothelial cell
TIE1	Microvascular endothelial cell
CLDN5	Microvascular endothelial cell
VWF	Microvascular endothelial cell
HYAL2	Microvascular endothelial cell
EIF2B2	Microvascular endothelial cell
TNFSF18	Microvascular endothelial cell
LYVE1	Microvascular endothelial cell
ARHGEF15	Microvascular endothelial cell
CLEC1A	Microvascular endothelial cell
ROBO4	Microvascular endothelial cell
CXORF36	Microvascular endothelial cell
MMRN2	Microvascular endothelial cell
KANK3	Microvascular endothelial cell
CLDN5	endothelial:Our Paper
RAMP3	Portal Endothelial: Ian et al- Nature com 2018
INMT	Portal Endothelial: Ian et al- Nature com 2018
DNASE1L3	Portal Endothelial: Ian et al- Nature com 2018
LIFR	Portal Endothelial: Ian et al- Nature com 2018
ACKR1	Endothelial:AziziLabs
FABP4	Endothelial:AziziLabs
PLVAP	Endothelial:AziziLabs
RAMP2	Endothelial:AziziLabs
VWF	Endothelial:AziziLabs
AQP1	Endothelial:AziziLabs
CLDN5	Endothelial:AziziLabs
SPARCL1	Endothelial:AziziLabs
GNG11	Endothelial:AziziLabs
PECAM1	Endothelial:AziziLabs
ENG	Endothelial:AziziLabs
EGFL7	Endothelial:AziziLabs
HSPG2	Endothelial:AziziLabs
RAMP3	Endothelial:AziziLabs
A2M	Endothelial:AziziLabs
SPRY1	Endothelial:AziziLabs
CLEC14A	Endothelial:AziziLabs
RBP7	Endothelial:AziziLabs
EMCN	Endothelial:AziziLabs
IGFBP7	Endothelial:AziziLabs
ADGRL4	Endothelial:AziziLabs
ID1	Endothelial:AziziLabs
NPDC1	Endothelial:AziziLabs
ESAM	Endothelial:AziziLabs
CALCRL	Endothelial:AziziLabs
CAV1	Endothelial:AziziLabs
IGFBP3	Endothelial:AziziLabs
IFI27	Endothelial:AziziLabs
RNASE1	Endothelial:AziziLabs
CD34	Endothelial:AziziLabs
SDPR	Endothelial:AziziLabs
IFITM3	Endothelial:AziziLabs
IGFBP4	Endothelial:AziziLabs
FKBP1A	Endothelial:AziziLabs
TM4SF1	Endothelial:AziziLabs
PLPP1	Endothelial:AziziLabs
HYAL2	Endothelial:AziziLabs
SLC9A3R2	Endothelial:AziziLabs
CRIP2	Endothelial:AziziLabs
PDLIM1	Endothelial:AziziLabs
COL15A1	Endothelial:AziziLabs
COL4A1	Endothelial:AziziLabs
EPAS1	Endothelial:AziziLabs
PRCP	Endothelial:AziziLabs
PALMD	Endothelial:AziziLabs
EMP1	Endothelial:AziziLabs
CD36	Endothelial:AziziLabs
CD93	Endothelial:AziziLabs
TCF4	Endothelial:AziziLabs
SOCS3	Endothelial:AziziLabs
PTRF	Endothelial:AziziLabs
COL4A2	Endothelial:AziziLabs
FLT1	Endothelial:AziziLabs
PDK4	Endothelial:AziziLabs
CYYR1	Endothelial:AziziLabs
ID3	Endothelial:AziziLabs
CXorf36	Endothelial:AziziLabs
BCAM	Endothelial:AziziLabs
BIRC5	Prolifarative endothelial cells:Lee et al 2020
CKS1B	Prolifarative endothelial cells:Lee et al 2020
MKI67	Prolifarative endothelial cells:Lee et al 2020
PCNA	Prolifarative endothelial cells:Lee et al 2020
PPARG	Lymphatic endothelial cells: Lee et al 2020
FABP1	Lymphatic endothelial cells: Lee et al 2020
FABP4	Lymphatic endothelial cells: Lee et al 2020
FABP5	Tip-like endothelial cells: Lee et al 2020
RGCC	Tip-like endothelial cells: Lee et al 2020
RAMP3	Tip-like endothelial cells: Lee et al 2020
ACKR1	Stalk-like endothelial cells: Lee et al 2020
SELP	Stalk-like endothelial cells: Lee et al 2020
LYVE1	Prolifarative endothelial cells:Lee et al 2020
PROX1	Prolifarative endothelial cells:Lee et al 2020
CD31	"Endothelial :Chen et al, Bladder paper"
PECAM1	Endothelial:SCTyper
CD34	Endothelial:SCTyper
KDR	Endothelial:SCTyper
CDH5	Endothelial:SCTyper
PROM1	Endothelial:SCTyper
PDPN	Endothelial:SCTyper
TEK	Endothelial:SCTyper
FLT1	Endothelial:SCTyper
VCAM1	Endothelial:SCTyper
PTPRC	Endothelial:SCTyper
VWF	Endothelial:SCTyper
ENG	Endothelial:SCTyper
MCAM	Endothelial:SCTyper
ICAM1	Endothelial:SCTyper
FLT4	Endothelial:SCTyper
SELE	Endothelial:SCTyper
PECAM1	Endothelial cells:SCTyper
CD34	Endothelial cells:SCTyper
