Genes	Subtype
WFDC3	BEST2 goblet cells
WFDC2	BEST2 goblet cells
KLK15	BEST2 goblet cells
KLK1	BEST2 goblet cells
BEST4	Best4 Enterocytes
OTOP2	BEST4 enterocytes
CAR7	BEST4 enterocytes
CAR2	colonocytes
SLC26A2	colonocytes- Immature Enterocytes 2
FABP1	colonocytes- Immature Enterocytes 2
MUC2	Goblet cells
ZG16	Goblet cells
TFF1	Goblet cells
SPDEF	Goblet cells
FCGBP	Goblet cells
CLCA1	Goblet cells
CAR1	Immature Enterocytes 2
KRT18	Epithelium
KRT8	Epithelium
KRT7	Epithelium
GUCA2A	Epithelium
KRT19	Epithelium
FABBP2	Epithelium
KRTR20	Epithelium
CTRB1	Acinar: Li Ding
CELA3A	Acinar: Li Ding
CELA3B	Acinar: Li Ding
CTRB2	Acinar: Li Ding
PLA2G1B	Acinar: Li Ding
PRSS2	Acinar: Li Ding
SPINK1	Acinar: Li Ding
CLPS	Acinar: Li Ding
CPA1	Acinar: Li Ding
PRSS1	Acinar: Li Ding
CPA2	Acinar: Li Ding
REG1A	Acinar: Li Ding
PNLIP	Acinar: Li Ding
SYCN	Acinar: Li Ding
PNLIPRP1	Acinar: Li Ding
CTRC	Acinar: Li Ding
KLK1	Acinar: Li Ding
CELA2A	Acinar: Li Ding
CPB1	Acinar: Li Ding
KRT19	ductal cell 1: Peng
KRT7	ductal cell 1: Peng
TSPAN8	ductal cell 1: Peng
SLPI	ductal cell 1: Peng
PRSS1	acinar: Peng
CTRB1	acinar: Peng
CTRB2	acinar: Peng
REG1B	acinar: Peng
CLU	clu+ intestenial revsc : Peng
SPINK1	Malignancy:Science
GPC3	Malignancy:Science
AKR1B10	Malignancy:Science
TOP2A	Malignancy:Science
REG3A	Malignancy:Science
CAP2	Malignancy:Science
UBE2C	Malignancy:Science
MDK	Malignancy:Science
LCN2	Malignancy:Science
AURKA	Malignancy:Science
BTNL8	Classical genes: elena Ferteg
FAM3D	Classical genes: elena Ferteg
ATAD4	Classical genes: elena Ferteg
AGR3	Classical genes: elena Ferteg
CTSE	Classical genes: elena Ferteg
LOC400573	Classical genes: elena Ferteg
LYZ	Classical genes: elena Ferteg
TFF2	Classical genes: elena Ferteg
TFF1	Classical genes: elena Ferteg
ANXA10	Classical genes: elena Ferteg
LGALS4	Classical genes: elena Ferteg
PLA2G10	Classical genes: elena Ferteg
CEACAM6	Classical genes: elena Ferteg
VSIG2	Classical genes: elena Ferteg
TSPAN8	Classical genes: elena Ferteg
ST6GALNAC1	Classical genes: elena Ferteg
AGR2	Classical genes: elena Ferteg
TFF3	Classical genes: elena Ferteg
CYP3A7	Classical genes: elena Ferteg
MYO1A	Classical genes: elena Ferteg
CLRN3	Classical genes: elena Ferteg
KRT20	Classical genes: elena Ferteg
CDH17	Classical genes: elena Ferteg
SPINK4	Classical genes: elena Ferteg
REG4	Classical genes: elena Ferteg
VGLL	Basal-like genes: elena Ferteg
UCA1	Basal-like genes: elena Ferteg
S100A2	Basal-like genes: elena Ferteg
LY6D	Basal-like genes: elena Ferteg
SPRR3	Basal-like genes: elena Ferteg
SPRR1B	Basal-like genes: elena Ferteg
LEMD1	Basal-like genes: elena Ferteg
KRT15	Basal-like genes: elena Ferteg
CTSL2	Basal-like genes: elena Ferteg
DHRS9	Basal-like genes: elena Ferteg
AREG	Basal-like genes: elena Ferteg
CST6	Basal-like genes: elena Ferteg
SERPINB3	Basal-like genes: elena Ferteg
KRT6C	Basal-like genes: elena Ferteg
KRT6A	Basal-like genes: elena Ferteg
SERPINB4	Basal-like genes: elena Ferteg
FAM83A	Basal-like genes: elena Ferteg
SCEL	Basal-like genes: elena Ferteg
FGFBP1	Basal-like genes: elena Ferteg
KRT7	Basal-like genes: elena Ferteg
KRT17	Basal-like genes: elena Ferteg
GPR87	Basal-like genes: elena Ferteg
TNS4	Basal-like genes: elena Ferteg
SLC2A1	Basal-like genes: elena Ferteg
ANXA8L2	Basal-like genes: elena Ferteg
ABCG2	cancer stem cell: elena Ferteg
ALDH1A1	cancer stem cell: elena Ferteg
CD24	cancer stem cell: elena Ferteg
CD44	cancer stem cell: elena Ferteg
EPCAM	cancer stem cell: elena Ferteg
PROM1	cancer stem cell: elena Ferteg
CXCR4	cancer stem cell: elena Ferteg
NES	cancer stem cell: elena Ferteg
DCLK1	cancer stem cell: elena Ferteg
SOX9	cancer stem cell: elena Ferteg
NANOG	cancer stem cell: elena Ferteg
EPCAM	Epithelial:Our paper
KRT8	Epithelial:Our paper
KRT18	Epithelial:Our paper
LYZ	epi-mye:Our Paper
FERMT1	Classical:Adel-Collison
HK2	Classical:Adel-Collison
AHNAK2	Classical:Adel-Collison
TMEM45B	Classical:Adel-Collison
SDR16C5	Classical:Adel-Collison
GPRC5A	Classical:Adel-Collison
AGR2	Classical:Adel-Collison
S100P	Classical:Adel-Collison
FXYD3	Classical:Adel-Collison
ST6GALNAC1	Classical:Adel-Collison
CEACAM5	Classical:Adel-Collison
CEACAM6	Classical:Adel-Collison
TFF1	Classical:Adel-Collison
TFF3	Classical:Adel-Collison
CAPN8	Classical:Adel-Collison
FOXQ1	Classical:Adel-Collison
ELF3	Classical:Adel-Collison
ERBB3	Classical:Adel-Collison
TSPAN8	Classical:Adel-Collison
TOX3	Classical:Adel-Collison
LGALS4	Classical:Adel-Collison
PLS1	Classical:Adel-Collison
GPX2	Classical:Adel-Collison
ATP10B	Classical:Adel-Collison
MUC13	Classical:Adel-Collison
S100A2	Basal:Adel
KRT6A	Basal:Adel
CST6	Basal:Adel
GPR87	Basal:Adel
SCEL	Basal:Adel
ANXA8L2	Basal:Adel
KRT6C	Basal:Adel
SERPINB4	Basal:Adel
SERPINB3	Basal:Adel
LY6D	Basal:Adel
LY6D	Basal:Adel
PLAG1	Basal:Adel
IL20RB	Basal:Adel
C16ORF74	Basal:Adel
DCBLD2	Basal:Adel
KRT17P3	Basal:Adel
HMGA2	Basal:Adel
SPRR3	Basal:Adel
SPRR1B	Basal:Adel
KRT17	Basal:Adel
TM4SF5	Classical:Adel-Moffit
TFF1	Classical:Adel-Moffit
PLA2G10	Classical:Adel-Moffit
GPX2	Classical:Adel-Moffit
SPINK4	Classical:Adel-Moffit
LOC400573	Classical:Adel-Moffit
BTNL8	Classical:Adel-Moffit
DMBT1	Classical:Adel-Moffit
ATAD4	Classical:Adel-Moffit
TFF3	Classical:Adel-Moffit
FAM3D	Classical:Adel-Moffit
LYZ	Classical:Adel-Moffit
MYO1A	Classical:Adel-Moffit
ANXA10	Classical:Adel-Moffit
CLRN3	Classical:Adel-Moffit
AKR1B10	Classical:Adel-Moffit
CTSE	Classical:Adel-Moffit
TSPAN8	Classical:Adel-Moffit
LGALS4	Classical:Adel-Moffit
REG4	Classical:Adel-Moffit
FAT2	Basal-like A:Adel
MIR205HG	Basal-like A:Adel
S100A9	Basal-like A:Adel
S100A2	Basal-like A:Adel
S100A8	Basal-like A:Adel
KRT5	Basal-like A:Adel
SLC2A9	Basal-like A:Adel
RHCG	Basal-like A:Adel
TP63	Basal-like A:Adel
ZNF750	Basal-like A:Adel
KRT6A	Basal-like A:Adel
KRT14	Basal-like A:Adel
PTHLH	Basal-like A:Adel
TMEM45A	Basal-like A:Adel
COL7A1	Basal-like A:Adel
TNNT3	Basal-like A:Adel
TMPRSS11E	Basal-like A:Adel
ARL4D	Basal-like A:Adel
SCPEP1	Basal-like A:Adel
HCAR2	Basal-like A:Adel
GSDMC	Basal-like A:Adel
TMEM40	Basal-like A:Adel
CYP24A1	Basal-like A:Adel
IL20RB	Basal-like A:Adel
GJB6	Basal-like A:Adel
LPAR3	Basal-like A:Adel
HCAR3	Basal-like A:Adel
GPR87	Basal-like A:Adel
ZNF385A	Basal-like A:Adel
CLEC2B	Basal-like A:Adel
FYB	Basal-like A:Adel
COL4A6	Basal-like A:Adel
PPP4R4	Basal-like A:Adel
LCP1	Basal-like A:Adel
LYPD3	Basal-like A:Adel
ANXA8	Basal-like A:Adel
TNC	Basal-like A:Adel
SNAI2	Basal-like A:Adel
FST	Basal-like A:Adel
ANXA8L1	Basal-like A:Adel
AIM2	Basal-like A:Adel
LY6D	Basal-like A:Adel
TCF7L1	Basal-like A:Adel
KRT13	Basal-like A:Adel
CLCA4	Basal-like A:Adel
CAV1	Basal-like A:Adel
MMP13	Basal-like A:Adel
GBP6	Basal-like A:Adel
SRGAP3	Basal-like A:Adel
CSTA	Basal-like A:Adel
FOXJ1	Basal-like B:Adel
DRC1	Basal-like B:Adel
CCDC114	Basal-like B:Adel
C7ORF57	Basal-like B:Adel
CFAP54	Basal-like B:Adel
VWA3A	Basal-like B:Adel
RARRES3	Basal-like B:Adel
CFAP73	Basal-like B:Adel
C11ORF70	Basal-like B:Adel
CFAP45	Basal-like B:Adel
ZBBX	Basal-like B:Adel
CST6	Basal-like B:Adel
CFAP43	Basal-like B:Adel
C15ORF52	Basal-like B:Adel
RSPH4A	Basal-like B:Adel
MAPK15	Basal-like B:Adel
FAM81B	Basal-like B:Adel
PPIL6	Basal-like B:Adel
KRT80	Basal-like B:Adel
DAW1	Basal-like B:Adel
CDHR4	Basal-like B:Adel
VGLL1	Basal-like B:Adel
MAATS1	Basal-like B:Adel
ZMYND10	Basal-like B:Adel
ELFN2	Basal-like B:Adel
CERKL	Basal-like B:Adel
C9ORF116	Basal-like B:Adel
CASC1	Basal-like B:Adel
MAK	Basal-like B:Adel
PLA2G16	Basal-like B:Adel
DRC7	Basal-like B:Adel
BATF2	Basal-like B:Adel
DNAI1	Basal-like B:Adel
RSPH1	Basal-like B:Adel
MFI2	Basal-like B:Adel
ARMC3	Basal-like B:Adel
LY75	Basal-like B:Adel
CCDC173	Basal-like B:Adel
TMEM169	Basal-like B:Adel
CCDC103	Basal-like B:Adel
GINS2	Basal-like B:Adel
PRR29	Basal-like B:Adel
KLK6	Basal-like B:Adel
TCTEX1D2	Basal-like B:Adel
CDA	Basal-like B:Adel
RAB36	Basal-like B:Adel
ANKRD1	Basal-like B:Adel
MMP7	Basal-like B:Adel
CFAP206	Basal-like B:Adel
CFAP157	Basal-like B:Adel
CYP2C18	Classical A:Adel
RP11-400G3.5	Classical A:Adel
VSIG2	Classical A:Adel
SLC9B2	Classical A:Adel
ANXA10	Classical A:Adel
CAPN8	Classical A:Adel
VILL	Classical A:Adel
CLDN18	Classical A:Adel
SULT1C2	Classical A:Adel
CYSTM1	Classical A:Adel
CTSE	Classical A:Adel
ADAM28	Classical A:Adel
VSIG1	Classical A:Adel
