Genes	Subtype
COL1A1	Fibroblast
COL1A2	Fibroblast
DCN	Fibroblast
COL3A1	Fibroblast
RGS5	Fibroblast
TAGLN	Fibroblast
TIMP1	Fibroblast: Li Ding
FN1	Fibroblast: Li Ding
POSTN	Fibroblast: Li Ding
ACTA2	Fibroblast: Li Ding
BST2	Fibroblast: Li Ding
LY6D	Fibroblast: Li Ding
COL6A1	Fibroblast: Li Ding
SLC20A1	Fibroblast: Li Ding
COL6A2	Fibroblast: Li Ding
KRT16	Fibroblast: Li Ding
CD9	Fibroblast: Li Ding
S100A4	Fibroblast: Li Ding
EMP1	Fibroblast: Li Ding
LRRC8A	Fibroblast: Li Ding
EPCAM	Fibroblast: Li Ding
PDPN	Fibroblast: Li Ding
ITGB1	Fibroblast: Li Ding
PDGFRA	Fibroblast: Li Ding
THY1	Fibroblast: Li Ding
IL6	iCAF: Li Ding
CXCL1	iCAF: Li Ding
CXCL12	iCAF: Li Ding
CXCL2	iCAF: Li Ding
ACTA2	myCAF: Li Ding
THY1	myCAF: Li Ding
TAGLN	myCAF: Li Ding
CD74	apCAF: Li Ding
SAA2	apCAF: Li Ding
SAA1	apCAF: Li Ding
LUM	fibroblast: Peng
DCN	fibroblast: Peng
COL1A1	fibroblast: Peng
COL1A2	Fibroblasts:Science
FAP	Fibroblasts:Science
PDPN	Fibroblasts:Science
DCN	Fibroblasts:Science
COL3A1	Fibroblasts:Science
COL6A1	Fibroblasts:Science
COL1A1	Fibroblasts:Science
COL1A1	CAF-S1/myCAF:Our Paper
FAP	CAF-S1/myCAF:Our Paper
PDPN	CAF-S1/myCAF:Our Paper
PDGFRA	CAF-S1:Our Paper
COL1A2	CAF-S1/myCAF:Our Paper
CXCL12	CAF-S1/iCAF:Our Paper
GJB	CAF-S1/ecm-myCAF:Our Paper
ANTXR1	CAF-S1/ecm-myCAF:Our Paper
SDC1	CAF-S1/ecm-myCAF:Our Paper
SEMA3C	CAF-S1/wound-myCAF:Our Paper
CD9	CAF-S1/wound-myCAF:Our Paper
CST1	CAF-S1/TGFB-myCAF:Our Paper
TGFB1	CAF-S1/TGFB-myCAF:Our Paper
LAMP5	CAF-S1/TGFB-myCAF:Our Paper
SCARA5	CAF-S1/IL-iCAF:Our Paper
DLK1	CAF-S1/IL-iCAF:Our Paper
ADH1B	CAF-S1/detox-iCAF:Our Paper
GPC3	CAF-S1/detox-iCAF:Our Paper
RGS5	CAF-S4:Our Paper
CSPG4	CAF-S4:Our Paper
PDGFRB	CAF-S4:Our Paper
CD248	CAF-S4:Our Paper
EPAS1	CAF-S4:Our Paper
MYL9	myCAF:Adel
CALD1	myCAF:Adel
MMP11	myCAF:Adel
HOPX	myCAF:Adel
BGN	myCAF:Adel
IGFBP7	myCAF:Adel
TPM2	myCAF:Adel
CTHRC1	myCAF:Adel
ACTA2	myCAF:Adel
TAGLN	myCAF:Adel
INHBA	myCAF:Adel
COL10A1	myCAF:Adel
TPM1	myCAF:Adel
POSTN	myCAF:Adel
GRP	myCAF:Adel
CST1	myCAF:Adel
C3	iCAF:Adel
DUSP1	iCAF:Adel
FBLN1	iCAF:Adel
LMNA	iCAF:Adel
CLU	iCAF:Adel
CCDC80	iCAF:Adel
MYC	iCAF:Adel
EFEMP1	iCAF:Adel
HAS1	iCAF:Adel
NR4A1	iCAF:Adel
CFD	iCAF:Adel
ANXA1	iCAF:Adel
CXCL12	iCAF:Adel
FGF7	iCAF:Adel
KLF4	iCAF:Adel
EMP1	iCAF:Adel
GPRC5A	iCAF:Adel
SRPX	iCAF:Adel
MT2A	iCAF:Adel
MEDAG	iCAF:Adel
IGF1	iCAF:Adel
MGST1	iCAF:Adel
MCL1	iCAF:Adel
CEBPD	iCAF:Adel
S100A10	iCAF:Adel
UAP1	iCAF:Adel
TNXB	iCAF:Adel
CEBPB	iCAF:Adel
PNRC1	iCAF:Adel
SOCS3	iCAF:Adel
PTGDS	iCAF:Adel
FOSB	iCAF:Adel
NFKBIA	iCAF:Adel
CXCL2	iCAF:Adel
THBS1	iCAF:Adel
CCL2	iCAF:Adel
OGN	iCAF:Adel
GSN	iCAF:Adel
DPT	iCAF:Adel
PLA2G2A	iCAF:Adel
NAMPT	iCAF:Adel
ITM2A	iCAF:Adel
RGCC	iCAF:Adel
JUND	iCAF:Adel
NNMT	iCAF:Adel
ZFP36	iCAF:Adel
PIM1	iCAF:Adel
CPE	iCAF:Adel
GFPT2	iCAF:Adel
SOD2	iCAF:Adel
LUM	Fibroblasts: Peng
DCN	Fibroblasts: Peng
COL1A1	Fibroblasts: Peng
APOD	CAFs MSC iCAF-like:AziziLabs
DCN	CAFs MSC iCAF-like:AziziLabs
PTGDS	CAFs MSC iCAF-like:AziziLabs
CFD	CAFs MSC iCAF-like:AziziLabs
LUM	CAFs MSC iCAF-like:AziziLabs
C1S	CAFs MSC iCAF-like:AziziLabs
CXCL12	CAFs MSC iCAF-like:AziziLabs
C3	CAFs MSC iCAF-like:AziziLabs
SFRP2	CAFs MSC iCAF-like:AziziLabs
CXCL14	CAFs MSC iCAF-like:AziziLabs
CCDC80	CAFs MSC iCAF-like:AziziLabs
MFAP4	CAFs MSC iCAF-like:AziziLabs
FBLN1	CAFs MSC iCAF-like:AziziLabs
GSN	CAFs MSC iCAF-like:AziziLabs
CTSK	CAFs MSC iCAF-like:AziziLabs
SERPINF1	CAFs MSC iCAF-like:AziziLabs
RARRES2	CAFs MSC iCAF-like:AziziLabs
SFRP4	CAFs MSC iCAF-like:AziziLabs
C1R	CAFs MSC iCAF-like:AziziLabs
IGF2	CAFs MSC iCAF-like:AziziLabs
CYR61	CAFs MSC iCAF-like:AziziLabs
CTGF	CAFs MSC iCAF-like:AziziLabs
SERPING1	CAFs MSC iCAF-like:AziziLabs
IGFBP6	CAFs MSC iCAF-like:AziziLabs
MMP2	CAFs MSC iCAF-like:AziziLabs
IGFBP4	CAFs MSC iCAF-like:AziziLabs
COL6A2	CAFs MSC iCAF-like:AziziLabs
MEG3	CAFs MSC iCAF-like:AziziLabs
IGF1	CAFs MSC iCAF-like:AziziLabs
SRPX	CAFs MSC iCAF-like:AziziLabs
COL3A1	CAFs MSC iCAF-like:AziziLabs
AEBP1	CAFs MSC iCAF-like:AziziLabs
COL1A1	CAFs myCAF-like:AziziLabs
COL1A2	CAFs myCAF-like:AziziLabs
COL3A1	CAFs myCAF-like:AziziLabs
LUM	CAFs myCAF-like:AziziLabs
SFRP2	CAFs myCAF-like:AziziLabs
POSTN	CAFs myCAF-like:AziziLabs
MMP11	CAFs myCAF-like:AziziLabs
CTHRC1	CAFs myCAF-like:AziziLabs
