Genes	Subtype
ALB	Hepatocytes:Ankur
HAMP	Hepatocytes:Science
CYP1A2	Hepatocytes:Science
APOF	Hepatocytes:Science
CYP3A4	Hepatocytes:Science
C9	Hepatocytes:Science
ADH4	Hepatocytes:Science
SLC22A1	Hepatocytes:Science
CYP2A6	Hepatocytes:Science
HGFAC	Hepatocytes:Science
CYP2C8	Hepatocytes:Science
CYP2E1	Hepatocytes:Science
RDH16	Hepatocytes:Science
SPP2	Hepatocytes:Science
UROC1	Hepatocytes:Science
AFM	Hepatocytes:Science
PCK1	Hepatocytes:Science
F9	Hepatocytes:Science
CYP4A11	Hepatocytes:Science
SERPINA11	Hepatocytes:Science
APOA5	Hepatocytes:Science
CYP8B1	Hepatocytes:Science
SLC10A1	Hepatocytes:Science
ALB	Hepatocytes: Ian et al- Nature com 2018
HAMP	Hepatocytes: Ian et al- Nature com 2018
ARG1	Hepatocytes: Ian et al- Nature com 2018
PCK1	Hepatocytes: Ian et al- Nature com 2018
AFP	Hepatocytes: Ian et al- Nature com 2018
BCHE	Hepatocytes: Ian et al- Nature com 2018
CYP3A7	Hepatocytes: Ian et al- Nature com 2018
CYP2A7	Hepatocytes: Ian et al- Nature com 2018
CYP2A6	Hepatocytes: Ian et al- Nature com 2018
SCD	Hepatocytes: Ian et al- Nature com 2018
HMGCS1	Hepatocytes: Ian et al- Nature com 2018
ACSS2	Hepatocytes: Ian et al- Nature com 2018
TM7SF2	Hepatocytes: Ian et al- Nature com 2018
SEC16B	Hepatocytes: Ian et al- Nature com 2018
SLBP	Hepatocytes: Ian et al- Nature com 2018
RND3	Hepatocytes: Ian et al- Nature com 2018
PCK1	Hepatocytes: Ian et al- Nature com 2018
BCHE	Hepatocytes: Ian et al- Nature com 2018
G6PC	Hepatocytes: Ian et al- Nature com 2018
GHR	Hepatocytes: Ian et al- Nature com 2018
ALDH6A1	Hepatocytes: Ian et al- Nature com 2018
RPP25L	Hepatocytes: Ian et al- Nature com 2018
HSD11B1	Hepatocytes: Ian et al- Nature com 2018
HAMP	Hepatocytes: Ian et al- Nature com 2018
