Genes	Subtype
WFDC3	BEST2 goblet cells
WFDC2	BEST2 goblet cells
KLK15	BEST2 goblet cells
KLK1	BEST2 goblet cells
BEST4	Best4 Enterocytes
OTOP2	BEST4 enterocytes
CAR7	BEST4 enterocytes
CAR2	colonocytes
SLC26A2	colonocytes- Immature Enterocytes 2
FABP1	colonocytes- Immature Enterocytes 2
CDC25C	Cycling TA
RBP2	Enterocytes
SLC26A3	Enterocytes
FABP2	Enterocytes
EPCAM	Enterocytes
ANPEP	Enterocytes
SCGN	Enteroendocrine
CCL7	Enteroendocrine
CCL13	Enteroendocrine
CHGA	Enteroendocrine cells
NEUROD1	enteroendocrine cells
CHGB	enteroendocrine cells
MUC2	Goblet cells
ZG16	Goblet cells
TFF1	Goblet cells
SPDEF	Goblet cells
FCGBP	Goblet cells
CLCA1	Goblet cells
CAR1	Immature Enterocytes 2
CCL20	Microfold cells
TNFRSF11A	Microfold cells
SPIB	Microfold cells
GP2	Microfold cells
REG3A	Paneth
DEFA6	Paneth
DEFA5	Paneth
LGR5	Stem cells
ASCL2	Stem cells
SMOC2	Stem cells
RGMB	Stem cells
OLFM4	Stem cells
LEFTY2	Stem cells
LEFTY1	Stem cells
TOP2A	TA: transit-amplifying
PCNA	TA: transit-amplifying
MKI67	TA: transit-amplifying
TRPM5	Tuft cells
POU2F3	Tuft cells
LRMP	Tuft cells
IRAG2	Tuft cells
HCK	Tuft cells
COL1A1	Fibroblast
COL1A2	Fibroblast
DCN	Fibroblast
COL3A1	Fibroblast
RGS5	Fibroblast
TAGLN	Fibroblast
PECAM1	Endothelial 
CCL21A	Endothelial 
CLDN5	Endothelial 
PLVAP	Endothelial 
MARCO	Myeloid
CD68	Myeloid
FCGR4	Myeloid
C1QA	Myeloid/TAMS
C1QB	Myeloid/TAMS
LYZ2	Myeloid
LYZ1	Myeloid
CD4	T-cell
CD8A	T-cell
CD8B1	T-cell
CD3D	T-cell
CD3G	T-cell
TFF1	T-cell
FOXP3	T-cell
IGHA	B cells
MZB1	B cells
SELL	B cells
CD19	B cells
CD74	B cells
CCL22	B cells
IGKC	Plasma
JCHAIN	Plasma
S100A9	Neutrophil/Monocytes
S100A8	Neutrophil/Monocytes
FCER1G	Neutrophil/Monocytes
FCGR3	Neutrophil/Monocytes
CXCR4	Neutrophil/Monocytes
KIT	MAST cell
KRT18	Epithelium
KRT8	Epithelium
KRT7	Epithelium
GUCA2A	Epithelium
KRT19	Epithelium
FABBP2	Epithelium
KRTR20	Epithelium
KRT19	Tumor: Li Ding
KRT8	Tumor: Li Ding
KRT18	Tumor: Li Ding
KRT17	Tumor: Li Ding
KRT7	Tumor: Li Ding
KRT5	Tumor: Li Ding
KRT6A	Tumor: Li Ding
KRT14	Tumor: Li Ding
EPCAM	Tumor: Li Ding
TACSTD2	Tumor: Li Ding
ANXA2	Tumor: Li Ding
S100A10	Tumor: Li Ding
S100A11	Tumor: Li Ding
S100A16	Tumor: Li Ding
TPM1	Tumor: Li Ding
TFF1	Tumor: Li Ding
S100A6	Tumor: Li Ding
AGR2	Tumor: Li Ding
C19ORF33	Tumor: Li Ding
INS	Islet: Li Ding
GCG	Islet: Li Ding
SST	Islet: Li Ding
GHR	Islet: Li Ding
PPY	Islet: Li Ding
GCK	Islet: Li Ding
PCSK1	Islet: Li Ding
PCSK2	Islet: Li Ding
CHGA	Islet: Li Ding
CHGB	Islet: Li Ding
SYP	Islet: Li Ding
KCNJ11	Islet: Li Ding
CTRB1	Acinar: Li Ding
CELA3A	Acinar: Li Ding
CELA3B	Acinar: Li Ding
CTRB2	Acinar: Li Ding
PLA2G1B	Acinar: Li Ding
PRSS2	Acinar: Li Ding
SPINK1	Acinar: Li Ding
CLPS	Acinar: Li Ding
CPA1	Acinar: Li Ding
PRSS1	Acinar: Li Ding
CPA2	Acinar: Li Ding
REG1A	Acinar: Li Ding
PNLIP	Acinar: Li Ding
SYCN	Acinar: Li Ding
PNLIPRP1	Acinar: Li Ding
CTRC	Acinar: Li Ding
KLK1	Acinar: Li Ding
CELA2A	Acinar: Li Ding
CPB1	Acinar: Li Ding
VWF	Endothelial : Li Ding
PECAM1	Endothelial : Li Ding
FLT4	Endothelial : Li Ding
FLT1	Endothelial : Li Ding
FLT3	Endothelial : Li Ding
KDR	Endothelial : Li Ding
PLVAP	Endothelial : Li Ding
ANGPT2	Endothelial : Li Ding
TRIM24	Endothelial : Li Ding
ACTA2	Endothelial : Li Ding
TIMP1	Fibroblast: Li Ding
FN1	Fibroblast: Li Ding
POSTN	Fibroblast: Li Ding
ACTA2	Fibroblast: Li Ding
BST2	Fibroblast: Li Ding
LY6D	Fibroblast: Li Ding
COL6A1	Fibroblast: Li Ding
SLC20A1	Fibroblast: Li Ding
COL6A2	Fibroblast: Li Ding
KRT16	Fibroblast: Li Ding
CD9	Fibroblast: Li Ding
S100A4	Fibroblast: Li Ding
EMP1	Fibroblast: Li Ding
LRRC8A	Fibroblast: Li Ding
EPCAM	Fibroblast: Li Ding
PDPN	Fibroblast: Li Ding
ITGB1	Fibroblast: Li Ding
PDGFRA	Fibroblast: Li Ding
THY1	Fibroblast: Li Ding
HBD	erythrocyte: Li Ding
GYPA	erythrocyte: Li Ding
HBA1	erythrocyte: Li Ding
HBA2	erythrocyte: Li Ding
CA1	erythrocyte: Li Ding
HBB	erythrocyte: Li Ding
BRSK1	erythrocyte: Li Ding
SDC1	plasma: Li Ding
IGHG1	plasma: Li Ding
IGHG3	plasma: Li Ding
IGHG4	plasma: Li Ding
CD19	B cells: Li Ding
MS4A1	B cells: Li Ding
CD79A	B cells: Li Ding
CD79B	B cells: Li Ding
CD83	B cells: Li Ding
CD86	B cells: Li Ding
CD8B	CD8 T cells: Li Ding
CD8A	CD8 T cells: Li Ding
CD3E	CD8 T cells: Li Ding
CD3D	CD8 T cells: Li Ding
CD8B	CD4 T cells: Li Ding
CD8A	CD4 T cells: Li Ding
CD4	CD4 T cells: Li Ding
XCL2	NK: Li Ding
XCL1	NK: Li Ding
SPON2	NK: Li Ding
KLRF1	NK: Li Ding
KIR2DL3	NK: Li Ding
IL2RB	NK: Li Ding
HOPX	NK: Li Ding
CLIC3	NK: Li Ding
CD7	NK: Li Ding
KLRB1	NK: Li Ding
KLRD1	NK: Li Ding
GZMA	NK: Li Ding
PRF1	NK: Li Ding
CD160	NK: Li Ding
NCAM1	NK: Li Ding
FCGR3A	NK: Li Ding
FCER1A	Mast: Li Ding
KIT	Mast: Li Ding
FCER2	Mast: Li Ding
ENPP3	Mast: Li Ding
CD1C	DC: Li Ding
CD1A	DC: Li Ding
FLT3	DC: Li Ding
ZBTB46	DC: Li Ding
XCR1	DC: Li Ding
CLEC9A	DC: Li Ding
IRF8	DC: Li Ding
FLT3	DC: Li Ding
BATF3	DC: Li Ding
LY6G6D	Neutrophils: Li Ding
MPO	Neutrophils: Li Ding
FUT4	Neutrophils: Li Ding
FCGR3A	Neutrophils: Li Ding
ITGAM	Macrophages: Li Ding
LGALS3	Macrophages: Li Ding
CD68	Macrophages: Li Ding
CD163	Macrophages: Li Ding
LYZ	Macrophages: Li Ding
ADGRE1	Macrophages: Li Ding
LAMP2	Macrophages: Li Ding
CD14	Monocytes: Li Ding
FCGR3A	Monocytes: Li Ding
FCGR1A	Monocytes: Li Ding
IKZF2	Tregs: Li Ding
TNFRSF18	Tregs: Li Ding
FOXP3	Tregs: Li Ding
CTLA4	Tregs: Li Ding
IL7R	Tregs: Li Ding
IL2RA	Tregs: Li Ding
GZMH	cytotoxic T cell: Li Ding
GZMK	cytotoxic T cell: Li Ding
GZMB	cytotoxic T cell: Li Ding
GZMA	cytotoxic T cell: Li Ding
PRF1	cytotoxic T cell: Li Ding
IFNG	cytotoxic T cell: Li Ding
FASLG	cytotoxic T cell: Li Ding
LAMP1	cytotoxic T cell: Li Ding
CD8A	cytotoxic T cell: Li Ding
CD8B	cytotoxic T cell: Li Ding
CD3E	cytotoxic T cell: Li Ding
CD3D	cytotoxic T cell: Li Ding
VSIR	exhausted T cell: Li Ding
TIGIT	exhausted T cell: Li Ding
ICOS	exhausted T cell: Li Ding
EOMES	exhausted T cell: Li Ding
HAVCR2	exhausted T cell: Li Ding
PDCD1	exhausted T cell: Li Ding
BTLA	exhausted T cell: Li Ding
CD244	exhausted T cell: Li Ding
LAG3	exhausted T cell: Li Ding
CD160	exhausted T cell: Li Ding
CTLA4	exhausted T cell: Li Ding
CD96	exhausted T cell: Li Ding
MKI67	proliferation marker: Li Ding
ACTA2	general CAF: Li Ding
FAP	general CAF: Li Ding
PDPN	general CAF: Li Ding
PDGFRA	general CAF: Li Ding
IL6	iCAF: Li Ding
CXCL1	iCAF: Li Ding
CXCL12	iCAF: Li Ding
CXCL2	iCAF: Li Ding
ACTA2	myCAF: Li Ding
THY1	myCAF: Li Ding
TAGLN	myCAF: Li Ding
CD74	apCAF: Li Ding
SAA2	apCAF: Li Ding
SAA1	apCAF: Li Ding
MARCO	Myeloid
APOE1	Myeloid
PENG CLASSIFICATION	NULL
KRT19	ductal cell 1: Peng
KRT7	ductal cell 1: Peng
TSPAN8	ductal cell 1: Peng
SLPI	ductal cell 1: Peng
PRSS1	acinar: Peng
CTRB1	acinar: Peng
CTRB2	acinar: Peng
REG1B	acinar: Peng
CHGB	endocrine cell: Peng
CHGA	endocrine cell: Peng
INS	endocrine cell: Peng
IAPP	endocrine cell: Peng
RGS5	stellate cell: Peng
ACTA2	stellate cell: Peng
PDGFRB	stellate cell: Peng
ADIRF	stellate cell: Peng
LUM	fibroblast: Peng
DCN	fibroblast: Peng
COL1A1	fibroblast: Peng
CDH5	endothelial cell: Peng
PLVAP	endothelial cell: Peng
VWF	endothelial cell: Peng
CLDN5	endothelial cell: Peng
AIF1	macrophage: Peng
CD64	macrophage: Peng
CD14	macrophage: Peng
CD68	macrophage: Peng
CD3D	T cell: Peng
CD3E	T cell: Peng
CD4	T cell: Peng
CD8A	T cell: Peng
MS4A1	B cells: Peng
CD79A	B cells: Peng
CD79B	B cells: Peng
CD52	B cells: Peng
CLU	clu+ intestenial revsc : Peng
HTTPS://WWW.NATURE.COM/ARTICLES/S41586-019-1154-Y	NULL
STMN1	SSC2a:Alex
HELLS	SSC2a:Alex
TUBA1B	SSC2a:Alex
RRM2	SSC2a:Alex
RPS20	SSC2a:Alex
RPS26	SSC2a:Alex
RPLP1	SSC2a:Alex
GM10073	SSC2a:Alex
CLU	SSC2a:Alex
ANXA1	SSC2a:Alex
BASP1	SSC2a:Alex
