Genes,Subtype
ACTA2,PVL differentiated:AziziLabs
TAGLN,PVL differentiated:AziziLabs
MYL9,PVL differentiated:AziziLabs
TPM2,PVL differentiated:AziziLabs
NDUFA4L2,PVL differentiated:AziziLabs
SOD3,PVL differentiated:AziziLabs
ADIRF,PVL differentiated:AziziLabs
MYH11,PVL differentiated:AziziLabs
RGS5,PVL differentiated:AziziLabs
RERGL,PVL differentiated:AziziLabs
IGFBP7,PVL differentiated:AziziLabs
CALD1,PVL differentiated:AziziLabs
SPARCL1,PVL differentiated:AziziLabs
MT1M,PVL differentiated:AziziLabs
C11ORF96,PVL differentiated:AziziLabs
PPP1R14A,PVL differentiated:AziziLabs
MFGE8,PVL differentiated:AziziLabs
PLAC9,PVL differentiated:AziziLabs
DSTN,PVL differentiated:AziziLabs
PTP4A3,PVL differentiated:AziziLabs
MCAM,PVL differentiated:AziziLabs
SORBS2,PVL differentiated:AziziLabs
COL18A1,PVL differentiated:AziziLabs
TINAGL1,PVL differentiated:AziziLabs
CAV1,PVL differentiated:AziziLabs
TPM1,PVL differentiated:AziziLabs
MT1E,PVL differentiated:AziziLabs
PLN,PVL differentiated:AziziLabs
CSRP2,PVL differentiated:AziziLabs
PRKCDBP,PVL differentiated:AziziLabs
MYLK,PVL differentiated:AziziLabs
CCL19,PVL immature:AziziLabs
RGS5,PVL immature:AziziLabs
IGFBP7,PVL immature:AziziLabs
NDUFA4L2,PVL immature:AziziLabs
CCL2,PVL immature:AziziLabs
CCL21,PVL immature:AziziLabs
COL18A1,PVL immature:AziziLabs
CALD1,PVL immature:AziziLabs
LHFP,PVL immature:AziziLabs
THY1,PVL immature:AziziLabs
CPE,PVL immature:AziziLabs
MYL9,PVL immature:AziziLabs
SPARC,PVL immature:AziziLabs
COL4A1,PVL immature:AziziLabs
TAGLN,PVL immature:AziziLabs
STEAP4,PVL immature:AziziLabs
ACTA2,PVL immature:AziziLabs
COL4A2,PVL immature:AziziLabs
TIMP1,PVL immature:AziziLabs
IGFBP5,PVL immature:AziziLabs
NOTCH3,PVL immature:AziziLabs
PDGFRB,PVL immature:AziziLabs
BGN,PVL immature:AziziLabs
SERPING1,PVL immature:AziziLabs
TIMP3,PVL immature:AziziLabs
HIGD1B,PVL immature:AziziLabs
COL6A2,PVL immature:AziziLabs
COX4I2,PVL immature:AziziLabs
TPM2,PVL immature:AziziLabs
MT1M,PVL immature:AziziLabs
GGT5,PVL immature:AziziLabs
