Genes	Subtype
MARCO	Myeloid
CD68	Myeloid
FCGR4	Myeloid
C1QA	Myeloid/TAMS
C1QB	Myeloid/TAMS
LYZ2	Myeloid
LYZ1	Myeloid
KIT	MAST cell
FCER1A	Mast: Li Ding
KIT	Mast: Li Ding
FCER2	Mast: Li Ding
ENPP3	Mast: Li Ding
ITGAM	Macrophages: Li Ding
LGALS3	Macrophages: Li Ding
CD68	Macrophages: Li Ding
CD163	Macrophages: Li Ding
LYZ	Macrophages: Li Ding
ADGRE1	Macrophages: Li Ding
LAMP2	Macrophages: Li Ding
CD14	Monocytes: Li Ding
FCGR3A	Monocytes: Li Ding
FCGR1A	Monocytes: Li Ding
MARCO	Myeloid
APOE1	Myeloid
AIF1	macrophage: Peng
CD64	macrophage: Peng
CD14	macrophage: Peng
CD68	macrophage: Peng
ITGAX	Myeloid:Science
CD33	Myeloid:Science
CEACAM8	Myeloid:Science
CD68	Myeloid:Science
CD163	Myeloid:Science
AIF1	Monocytes:Science
CYBB	Monocytes:Science
FCAR	Monocytes:Science
FCN1	Monocytes:Science
MNDA	Monocytes:Science
CFP	Monocytes:Science
S100A12	Monocytes:Science
CD163	Monocytes:Science
CLEC5A	Monocytes:Science
TREM1	Monocytes:Science
RETN	Monocytes:Science
FOLR2	Monocytes:Science
MS4A6A	Monocytes:Science
LILRA5	Monocytes:Science
CHIT1	Macrophages:Science
CYP19A1	Macrophages:Science
HK3	Macrophages:Science
MSR1	Macrophages:Science
VSIG4	Macrophages:Science
CLEC5A	Macrophages:Science
ADAMDEC1	Macrophages:Science
DNASE2B	Macrophages:Science
ITGAM	Macrophages_M1
CD68	Macrophages_M1
FCGR3A	Macrophages_M1
FCGR2A	Macrophages_M1
FCGR1A	Macrophages_M1
CD80	Macrophages_M1
CD86	Macrophages_M1
HLA-DRB5	Macrophages_M1
TLR4	Macrophages_M1
TNF	Macrophages_M1
IL1A	Macrophages_M1
IL1B	Macrophages_M1
IL12	Macrophages_M1
IL12A	Macrophages_M1
IL12B	Macrophages_M1
IL6	Macrophages_M1
NOS2	Macrophages_M1
ITGAM	Macrophages_M2
CD68	Macrophages_M2
CD163	Macrophages_M2
MRC1	Macrophages_M2
IL10	Macrophages_M2
TGFB1	Macrophages_M2
IDO1	Macrophages_M2
IL8	Macrophages_M2
CCL2	Macrophages_M2
