Genes	Subtype
CASP1	IFN-TAM:Qian et al:Cell review 2022
CASP4	IFN-TAM:Qian et al:Cell review 2022
CCL2	IFN-TAM:Qian et al:Cell review 2022
CCL3	IFN-TAM:Qian et al:Cell review 2022
CCL4	IFN-TAM:Qian et al:Cell review 2022
CCL7	IFN-TAM:Qian et al:Cell review 2022
CCL8	IFN-TAM:Qian et al:Cell review 2022
CD274hi	IFN-TAM:Qian et al:Cell review 2022
CD40	IFN-TAM:Qian et al:Cell review 2022
CXCL2	IFN-TAM:Qian et al:Cell review 2022
CXCL3	IFN-TAM:Qian et al:Cell review 2022
CXCL9	IFN-TAM:Qian et al:Cell review 2022
CXCL10	IFN-TAM:Qian et al:Cell review 2022
CXCL11	IFN-TAM:Qian et al:Cell review 2022
IDO1	IFN-TAM:Qian et al:Cell review 2022
IFI6	IFN-TAM:Qian et al:Cell review 2022
IFIT1	IFN-TAM:Qian et al:Cell review 2022
IFIT2	IFN-TAM:Qian et al:Cell review 2022
IFIT3	IFN-TAM:Qian et al:Cell review 2022
IFITM1	IFN-TAM:Qian et al:Cell review 2022
IFITM3	IFN-TAM:Qian et al:Cell review 2022
IRF1	IFN-TAM:Qian et al:Cell review 2022
IRF7	IFN-TAM:Qian et al:Cell review 2022
ISG15	IFN-TAM:Qian et al:Cell review 2022
LAMP3	IFN-TAM:Qian et al:Cell review 2022
PDCD1LG2hi	IFN-TAM:Qian et al:Cell review 2022
TNFSF10	IFN-TAM:Qian et al:Cell review 2022
C1QA	IFN-TAM:Qian et al:Cell review 2022
C1QC	IFN-TAM:Qian et al:Cell review 2022
CD38	IFN-TAM:Qian et al:Cell review 2022
IL4I1	IFN-TAM:Qian et al:Cell review 2022
ISG15	IFN-TAM:Qian et al:Cell review 2022
TNFSF10	IFN-TAM:Qian et al:Cell review 2022
IFI44L	IFN-TAM:Qian et al:Cell review 2022
CCL2	Inflam-TAM:Qian et al:Cell review 2022
CCL3	Inflam-TAM:Qian et al:Cell review 2022
CCL4	Inflam-TAM:Qian et al:Cell review 2022
CCL5	Inflam-TAM:Qian et al:Cell review 2022
CCL20	Inflam-TAM:Qian et al:Cell review 2022
CCL3L1	Inflam-TAM:Qian et al:Cell review 2022
CCL3L3	Inflam-TAM:Qian et al:Cell review 2022
CCL4L2	Inflam-TAM:Qian et al:Cell review 2022
CCL4L4	Inflam-TAM:Qian et al:Cell review 2022
CXCL1	Inflam-TAM:Qian et al:Cell review 2022
CXCL2	Inflam-TAM:Qian et al:Cell review 2022
CXCL3	Inflam-TAM:Qian et al:Cell review 2022
CXCL5	Inflam-TAM:Qian et al:Cell review 2022
CXCL8	Inflam-TAM:Qian et al:Cell review 2022
G0S2	Inflam-TAM:Qian et al:Cell review 2022
IL1B	Inflam-TAM:Qian et al:Cell review 2022
IL1RN	Inflam-TAM:Qian et al:Cell review 2022
IL6	Inflam-TAM:Qian et al:Cell review 2022
INHBA	Inflam-TAM:Qian et al:Cell review 2022
KLF2	Inflam-TAM:Qian et al:Cell review 2022
KLF6	Inflam-TAM:Qian et al:Cell review 2022
NEDD9	Inflam-TAM:Qian et al:Cell review 2022
PMAIP1	Inflam-TAM:Qian et al:Cell review 2022
S100A8	Inflam-TAM:Qian et al:Cell review 2022
S100A9	Inflam-TAM:Qian et al:Cell review 2022
SPP1	Inflam-TAM:Qian et al:Cell review 2022
ACP5	Lipid-Associated-TAM:Qian et al:Cell review 2022
AOPE	Lipid-Associated-TAM:Qian et al:Cell review 2022
APOC1	Lipid-Associated-TAM:Qian et al:Cell review 2022
ATF1	Lipid-Associated-TAM:Qian et al:Cell review 2022
C1QA	Lipid-Associated-TAM:Qian et al:Cell review 2022
C1QB	Lipid-Associated-TAM:Qian et al:Cell review 2022
C1QC	Lipid-Associated-TAM:Qian et al:Cell review 2022
CCL18	Lipid-Associated-TAM:Qian et al:Cell review 2022
CD163	Lipid-Associated-TAM:Qian et al:Cell review 2022
CD36	Lipid-Associated-TAM:Qian et al:Cell review 2022
CD63	Lipid-Associated-TAM:Qian et al:Cell review 2022
CHI3L1	Lipid-Associated-TAM:Qian et al:Cell review 2022
CTSB	Lipid-Associated-TAM:Qian et al:Cell review 2022
CSTD	Lipid-Associated-TAM:Qian et al:Cell review 2022
CSTL	Lipid-Associated-TAM:Qian et al:Cell review 2022
F13A1	Lipid-Associated-TAM:Qian et al:Cell review 2022
FABP5	Lipid-Associated-TAM:Qian et al:Cell review 2022
FOLR2	Lipid-Associated-TAM:Qian et al:Cell review 2022
GPNMB	Lipid-Associated-TAM:Qian et al:Cell review 2022
IRF3	Lipid-Associated-TAM:Qian et al:Cell review 2022
LGALS3	Lipid-Associated-TAM:Qian et al:Cell review 2022
LIPA	Lipid-Associated-TAM:Qian et al:Cell review 2022
LPL	Lipid-Associated-TAM:Qian et al:Cell review 2022
MACRO	Lipid-Associated-TAM:Qian et al:Cell review 2022
MerTK	Lipid-Associated-TAM:Qian et al:Cell review 2022
MMP7	Lipid-Associated-TAM:Qian et al:Cell review 2022
MMP9	Lipid-Associated-TAM:Qian et al:Cell review 2022
MMP12	Lipid-Associated-TAM:Qian et al:Cell review 2022
MRC1	Lipid-Associated-TAM:Qian et al:Cell review 2022
NR1H3	Lipid-Associated-TAM:Qian et al:Cell review 2022
NRF1	Lipid-Associated-TAM:Qian et al:Cell review 2022
NUPR1	Lipid-Associated-TAM:Qian et al:Cell review 2022
PLA2G7	Lipid-Associated-TAM:Qian et al:Cell review 2022
RNASE1	Lipid-Associated-TAM:Qian et al:Cell review 2022
