rowname,cc_ischia_10,Angiogenesis,Antitumor.cytokines,Bcells,Cancer.associated.fibroblasts,Checkpoint.molecules,Co.stimulatory.molecules,EMT.signature,Effector.cell.traffic,Effector.cells,Endothelium,Granulocyte.traffic,Immune.Suppression.by.Myeloid.cells,M1.signature,MHCI,MHCII,Macrophage.and.DC.traffic,Matrix,Matrix.remodeling,Myeloid.cells.traffic,NK.cells,Neutrophil.signature,Protumor.cytokines,Tcells,Th1.signature,Th2.signature,Treg,Treg.and.Th2.traffic,Tumor.associated.Macrophages,Tumor.proliferation.rate
IU PDA HM10 CC1,CC1,1.358611091,0.348789244,0.012143627,0.818565924,0.556359299,0.644002673,0.558900761,0.369992496,0.641644524,1.178924018,0.672953646,0.636273544,-0.405320152,0.003215689,-0.648219502,0.619745506,0.681650935,-0.086796418,0.755710305,0.525169555,0.230063268,0.280108569,0.155613529,0.438243157,0.640636101,0.598895382,0.800353404,-0.222772423,-0.083519059
IU PDA HM10 CC2,CC2,0.403509872,0.438796583,-0.498885467,-0.071746849,0.220078374,-0.204403878,-0.35744698,1.643233005,-0.015919467,-0.134100175,1.418030678,0.679176411,-0.032566208,1.646268147,0.603619167,0.578774522,0.940343299,-0.21341904,0.510837815,0.132864217,-0.217734218,-0.314169117,-0.214934964,0.029126604,-0.277733765,-0.276750043,-0.604217535,0.637450455,1.505354777
IU PDA HM10 CC3,CC3,-0.020806259,0.347139315,-0.759790547,-0.38517167,-0.082768895,-0.685659332,-0.750353614,1.670864422,-0.528169196,-0.64799336,1.532408529,0.639191837,-0.05423721,1.970619048,0.541558768,0.554060089,1.013116927,-0.228030185,0.199786795,-0.512092825,-0.264997475,-0.093159551,-0.644014186,-0.500250869,-0.852350603,-0.659585503,-0.930846852,0.128235843,2.531884552
IU PDA HM10 CC4,CC4,0.533495705,0.380202952,-0.235258464,0.151741901,0.523512437,0.245997451,0.127483391,1.429108411,0.454409261,0.413983433,1.027273362,0.817225723,0.215889552,1.258744392,0.493260954,1.037956729,0.891801673,-0.264322146,0.804285405,0.560029245,0.178360651,-0.2751503,-0.024711529,0.34065381,0.097512917,0.128994545,-0.16631601,0.756229384,0.816303389
IU PDA HM10 CC5,CC5,0.408650508,0.22128695,-0.021868627,0.604604468,0.591585823,0.468636995,0.285802613,0.59360679,0.726988807,1.074411772,0.385945915,0.740307088,-0.024487662,0.529622632,-0.429157279,0.948627234,0.687322094,-0.034603059,0.526071356,0.639869584,0.421181028,-0.591123765,0.026159115,0.625489688,0.514583733,0.674927304,0.349487372,0.055727535,0.531702813
IU PDA HM10 CC6,CC6,0.231733519,0.432439788,0.183494378,-1.154844588,0.842388555,0.729133259,0.17550391,0.458544887,1.010054034,0.30767699,0.249737886,0.568083274,-0.073239725,-0.655133975,-0.41704385,0.43793377,-0.614576913,-0.805096442,0.483032792,0.916543164,0.4598064,-0.780416304,0.294523114,0.74433607,0.949720017,0.952070431,0.578120979,-0.178473801,0.237333019
IU PDA HM10 CC7,CC7,0.537322545,0.315461033,-0.159032253,0.383277606,0.518797114,0.312440741,0.315360503,1.141596842,0.589712776,1.085139879,0.560236227,0.670022586,0.1548159,0.938359364,0.37770881,0.995954728,0.686638774,-0.474985915,0.698012329,0.545098197,0.097868062,-0.251367647,0.128668425,0.419753731,0.354578531,0.456038155,-0.024621835,0.696775268,0.293982487
IU PDA HM10 CC8,CC8,0.381080906,0.371075772,0.020637982,-0.369939903,0.658068331,0.489890541,0.251727744,0.907041402,0.810188047,0.496072932,0.447729629,0.684057277,-0.061891652,0.450045012,0.030009435,0.610402731,0.190211134,-0.615078563,0.771509023,0.796797594,0.321753734,-0.584571434,0.389341898,0.582369756,0.649382007,0.632896939,0.284863049,0.346835896,0.188227133
IU PDA HM10 CC9,CC9,0.068631212,0.762037664,0.087243443,-0.611156335,1.25501406,0.491146631,-0.161338325,1.716657934,1.105051561,0.018636056,-0.155091881,0.413928768,0.029551618,0.447495734,0.864005641,0.444271219,-0.406964185,-0.703362003,-0.005578972,1.301406027,0.328897278,-0.088266503,0.957752054,1.492050925,0.786127712,0.754758271,0.397505564,0.524898231,-0.067347421
IU PDA HM11 CC1,CC1,-0.011671018,-0.828868626,-0.47068186,1.044307469,-0.374192371,-0.517960864,0.916497794,-0.531233777,-0.534384459,0.343095472,-0.652466288,-0.244065269,0.634096292,0.154014821,0.417705677,0.236623713,0.770086643,0.754972139,-0.001431203,-0.571475768,-0.136501604,0.390412698,-0.176571658,-0.301632874,-0.373189001,-0.484175958,0.091094186,0.826723456,-0.919257723
