rowname,cc_ischia_10,ADIPOGENESIS,ALLOGRAFT.REJECTION,ANDROGEN.RESPONSE,ANGIOGENESIS,APICAL.JUNCTION,APICAL.SURFACE,APOPTOSIS,BILE.ACID.METABOLISM,CHOLESTEROL.HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA.REPAIR,E2F.TARGETS,EPITHELIAL.MESENCHYMAL.TRANSITION,ESTROGEN.RESPONSE.EARLY,ESTROGEN.RESPONSE.LATE,FATTY.ACID.METABOLISM,G2M.CHECKPOINT,GLYCOLYSIS,HEDGEHOG.SIGNALING,HEME.METABOLISM,HYPOXIA,IL2.STAT5.SIGNALING,IL6.JAK.STAT3.SIGNALING,INFLAMMATORY.RESPONSE,INTERFERON.ALPHA.RESPONSE,INTERFERON.GAMMA.RESPONSE,KRAS.SIGNALING.DN,KRAS.SIGNALING.UP,MITOTIC.SPINDLE,MTORC1.SIGNALING,MYC.TARGETS.V1,MYC.TARGETS.V2,MYOGENESIS,NOTCH.SIGNALING,OXIDATIVE.PHOSPHORYLATION,P53.PATHWAY,PANCREAS.BETA.CELLS,PEROXISOME,PI3K.AKT.MTOR.SIGNALING,PROTEIN.SECRETION,REACTIVE.OXYGEN.SPECIES.PATHWAY,SPERMATOGENESIS,TGF.BETA.SIGNALING,TNFA.SIGNALING.VIA.NFKB,UNFOLDED.PROTEIN.RESPONSE,UV.RESPONSE.DN,UV.RESPONSE.UP,WNT.BETA.CATENIN.SIGNALING,XENOBIOTIC.METABOLISM
IU PDA HM10 CC1,CC1,-0.709850368,-0.022718029,-0.658532936,-0.439713761,-0.477275379,-0.787121434,-0.864845841,0.170016739,-1.171497679,-0.272338842,-0.481443229,-0.693022924,-0.25032892,0.138769402,-1.113047696,-1.224677832,-0.859446204,-0.34431883,-0.877136888,-0.053533349,-0.923619979,-0.907867801,-0.264618928,-0.500471561,0.168406872,0.275374986,0.154852246,0.248009241,-0.681403476,-0.685960946,-0.975232652,-0.76575183,-0.439390641,-0.440527992,-0.087008715,-1.113538644,-0.870271302,-0.387411105,-0.793670978,-1.005103076,-0.750769889,-0.928082794,0.757476156,-0.67880033,-1.122769768,-0.668597663,-0.437449141,-0.741704614,-0.399685161,-0.445697114
IU PDA HM10 CC2,CC2,0.364932964,0.72376012,0.373820979,0.387100446,0.632694584,0.348644397,0.55158303,-0.014698807,0.418964718,0.644866074,1.088812713,0.654995934,1.631439405,0.079596347,-0.016356983,0.317999339,0.396075705,1.3777415,0.128473647,0.551414243,0.283222436,-0.05784112,0.662921999,0.69256611,0.985312953,1.864617699,1.861016356,-0.947909705,0.132060948,0.879097889,0.763545219,0.865874544,0.892170762,0.01928222,-0.216634345,0.37310473,0.286649269,-0.435535076,0.600672002,0.795782086,0.6710806,0.622928056,0.186019171,0.313724328,0.670273745,0.23573646,-0.26161719,0.557743661,-0.082096388,0.569890466
IU PDA HM10 CC3,CC3,0.632111179,0.355437518,0.892616666,0.258547929,0.829659958,0.571186393,0.80123769,-0.272367824,0.781500614,0.571198178,1.115447712,1.223250836,2.560566441,-0.118805427,0.559559277,0.905922184,0.852852417,2.161157199,0.60608003,0.756347312,0.664770824,0.079780665,0.824112796,0.79696273,0.949563392,2.203376256,2.16758113,-1.501338868,0.043827023,1.475329066,1.314505081,1.584632054,1.981191726,0.046823182,-0.264816257,0.926123798,0.656267294,-0.332508405,0.86948226,1.15026533,1.09694325,0.917294583,0.59024805,0.631077366,1.086061386,0.587617253,-0.371114863,0.974502628,-0.169171861,0.776114847
IU PDA HM10 CC4,CC4,-0.076947919,0.747472302,-0.077074636,0.321066056,0.153972343,0.023057705,0.146529538,0.241495409,-0.075083251,0.568978163,0.937675118,-0.081088516,0.436732523,0.156573419,-0.438912581,-0.291536405,-0.024581821,0.348563706,-0.262385066,0.362500153,-0.106837173,-0.253713076,0.376095574,0.479401632,0.947620093,1.275802476,1.31561142,-0.426079998,0.044533946,0.197473656,0.030389572,0.057923315,0.130657533,-0.121667616,-0.210249868,-0.223970146,-0.133425068,-0.38017988,0.269279867,0.192580665,0.040069884,-0.003338399,0.16516087,-0.12456941,0.251293424,-0.292573486,-0.306318933,-0.000852672,-0.119517131,0.334119
IU PDA HM10 CC5,CC5,-0.729830669,0.197901018,-0.751381833,-0.083964442,-0.179960111,-0.522862068,-0.282903182,0.151422862,-0.603328568,0.104600823,0.263788004,-0.541049421,-0.196126232,0.095858432,-0.822705034,-0.923416359,-0.706693138,-0.19200713,-0.827316054,-0.140121937,-0.530121168,-0.670394296,-0.158168636,-0.03071671,0.088598029,0.426717035,0.317391487,-0.043634971,-0.127187598,-0.278008624,-0.64086463,-0.512350041,-0.299784516,-0.177142716,-0.152496523,-0.835082161,-0.648574356,-0.537245512,-0.373961061,-0.317393491,-0.455382753,-0.663555384,0.103165832,-0.493002648,-0.759158684,-0.72376531,-0.380702233,-0.436370717,0.01011775,-0.266316089
IU PDA HM10 CC6,CC6,-0.569589606,-0.365914502,-1.10305452,-1.023110014,-1.294898985,-1.126955193,-1.36727146,1.664122766,-0.699889906,0.237156274,-0.200427327,-1.115001802,-0.791688098,-1.251610765,-1.094727971,-0.872012009,-0.193618107,-0.918515672,-0.804574262,-0.991268803,-0.632375085,-1.23976842,-0.991518673,-0.748343222,-0.490479417,-0.492741812,-0.534206417,0.649157235,-0.42215025,-1.19206595,-1.132806148,-1.265669822,-0.63509849,-1.458150267,-0.419223131,-0.982539127,-1.24449478,-0.325363774,0.032992099,-1.162860265,-1.173754563,-0.938645114,0.510952069,-1.29842261,-1.291204987,-1.234590685,-0.929310813,-1.118567629,-0.662069526,0.532102197
IU PDA HM10 CC7,CC7,-0.323943174,0.567974623,-0.506577879,0.207246636,-0.157645225,-0.152172958,-0.17456527,0.483352028,-0.390237941,0.538091564,0.76323516,-0.34733591,-0.021434551,0.039507868,-0.67726609,-0.659157821,-0.314004278,-0.164216507,-0.594981606,0.144940724,-0.381320177,-0.559218433,0.156975134,0.338007259,0.57876973,0.835796799,0.879504353,-0.175790594,-0.233418032,-0.1003459,-0.36774143,-0.435059409,-0.147748229,-0.118994437,-0.16753204,-0.525583931,-0.414678774,-0.347142238,-0.02421929,-0.164446062,-0.311085329,-0.337636292,0.189477922,-0.4653999,-0.386225916,-0.426845515,-0.158715478,-0.388984458,0.130594491,0.183521001
IU PDA HM10 CC8,CC8,-0.360978963,0.272051182,-0.6859695,-0.377118083,-0.678222883,-0.614687052,-0.665028138,1.163290007,-0.497218611,0.478239448,0.366601588,-0.730024076,-0.465339961,-0.592746725,-0.839893246,-0.709345693,-0.168245793,-0.516142967,-0.657641464,-0.484879502,-0.479219844,-0.807885818,-0.435917051,-0.096639382,0.077222314,0.357171877,0.338005893,0.258844411,-0.212444777,-0.628370098,-0.729713502,-0.812909347,-0.506197073,-0.791115422,-0.459599892,-0.699249132,-0.760670651,-0.358873852,0.068029623,-0.604432962,-0.707174631,-0.527215583,0.2280547,-0.823329077,-0.750158905,-0.834517438,-0.600580591,-0.67905861,-0.414297919,0.50923196
IU PDA HM10 CC9,CC9,-0.989140241,0.279034317,-1.156949652,-1.19861732,-0.799383926,-1.55029047,-0.739279363,0.60286789,-0.874089076,-0.397781608,-0.78736714,-1.058803039,-0.413252012,-0.895673487,-1.246255765,-1.188821068,-0.658702486,-0.798450285,-0.893532627,-0.824624544,-0.725959422,-1.436042839,-0.831776647,-0.19032757,-0.091108337,0.16804895,0.241583431,0.167566932,-0.366868182,-0.861649797,-0.948371971,-1.139986351,-0.677819918,-1.244977953,-0.656747015,-1.202874319,-1.148811195,-0.162743054,-0.244483358,-0.605333901,-0.841823169,-0.656958237,-0.153595705,-0.90766068,-0.640128726,-1.10289555,-0.649759533,-1.010620054,0.281109142,0.231780636
IU PDA HM11 CC1,CC1,0.313705377,0.512989021,0.606108569,1.200019603,0.773097103,0.437071756,0.960968447,-0.233010462,0.316882774,1.366756531,1.20594637,0.174240272,-0.459798863,1.339562249,0.230835912,0.046960731,-0.10024761,-0.20846681,0.074594652,0.510837792,0.533887701,1.07351738,1.0354126,1.035291305,1.023860831,0.02931279,0.580333832,-0.628499398,0.581871261,0.366894572,0.249565225,0.235931776,-0.19024595,1.343725124,0.577391058,0.182123173,0.558931626,-0.382829632,0.034724597,0.414318459,0.474579145,0.462587988,-0.213491184,0.931295144,1.161692174,0.38521398,1.292260034,0.547969681,0.94597911,0.331200767
IU PDA HM11 CC2,CC2,0.898134331,0.070782743,0.906911989,1.046428549,1.080275252,0.644947838,1.177725342,-0.217641986,1.22256734,1.500384898,1.171765158,0.768813006,-0.049726215,0.762282272,1.318271322,1.274702033,0.390539665,0.252719578,0.617001653,0.727300632,0.776485025,0.995862258,0.747498052,0.743794838,0.551949187,0.354245546,0.664808496,-0.308510842,0.955169298,0.718316016,0.83003542,0.74352798,0.339177165,1.26294196,0.848573012,0.591393123,1.340391574,-0.604530144,0.682981615,0.789354823,0.783895886,0.857433147,-1.129610299,1.184711923,1.176756931,0.562296044,0.93036219,0.784390674,0.767455882,1.047860265
IU PDA HM11 CC3,CC3,0.986174992,-0.478651001,1.158893091,0.70003751,1.131613964,0.817083522,1.241987891,-0.460983926,1.621356705,1.109428511,0.924929568,1.063158956,0.08330433,0.438467706,1.813098098,1.698854315,0.5058297,0.473408161,0.902646899,0.833151716,1.096598082,0.786148757,0.514734209,0.458460625,0.043682793,0.31381633,0.523892539,-0.277686312,0.63840103,1.033180656,1.027535601,0.989834728,0.641275924,1.141858553,1.029677499,0.730950844,1.475834861,-0.71480754,0.909728713,0.989906972,1.136609464,1.028393517,-1.302926679,1.299269391,1.101820276,0.725740078,0.990907765,0.841634544,0.73309643,0.984292345
IU PDA HM11 CC4,CC4,0.590996271,0.285620609,0.723011073,1.039138195,0.834402698,0.345828832,0.974593124,-0.091492346,0.694867361,1.423176132,1.157972898,0.338565155,-0.285399198,0.853209053,0.751602964,0.708369327,0.132515929,-0.010737352,0.271877732,0.474102143,0.561926484,0.918816692,0.832406682,0.766981509,0.691875743,0.123993144,0.497936178,-0.426663035,0.94707872,0.444500092,0.489370531,0.379376622,0.06310899,1.151726973,0.578979906,0.294452261,0.94262958,-0.457722349,0.361358387,0.484273993,0.508678079,0.601057755,-0.712749494,0.957200674,1.067842536,0.36989433,1.006645188,0.602143966,0.740133053,0.679302491
IU PDA HM11 CC5,CC5,0.499376413,0.455559581,0.725125132,1.291275749,0.892687556,0.351565819,1.107358477,-0.29302073,0.524309242,1.497498367,1.318618227,0.303790396,-0.439712112,1.230115128,0.545507356,0.439106369,0.051537899,-0.108675047,0.213299954,0.546577534,0.625587563,1.150042092,1.160258162,0.972673572,0.956349676,0.097937865,0.576605339,-0.547171102,0.995339657,0.483282312,0.508681765,0.345459627,-0.142011859,1.328536518,0.48850814,0.233697973,0.922991012,-0.383794233,0.16379981,0.504216762,0.505330123,0.55092026,-0.649995664,1.036648991,1.365051464,0.440411617,1.273160391,0.737912825,0.929802874,0.47878171
IU PDA HM11 CC6,CC6,1.113530149,0.028379871,0.186027874,0.406533546,-0.553721493,-0.434340193,0.068539299,2.757564766,0.446065485,1.912139206,1.024686081,-0.39605599,-0.55690605,-0.05884851,-0.014566935,0.126524691,1.538645344,-0.579661958,0.073675874,-0.66201491,0.309019136,0.637080486,0.279072739,0.381630709,0.302042895,-0.110410173,0.161996211,0.351482861,0.086346532,-0.667146306,0.001350057,-0.248683564,-0.063447129,0.110404545,-0.2344127,0.344352489,-0.053915639,-0.244278744,1.378008695,-0.2883602,-0.387360297,0.249923049,-0.311803194,-0.331065623,0.118626475,-0.110930803,-0.140126648,0.309475363,-0.493845766,2.776865591
IU PDA HM11 CC7,CC7,0.686175475,0.778699241,0.711750198,1.183285343,0.622674207,0.318620266,0.973440905,-0.001231216,0.453860522,1.496095358,1.428675165,0.284292414,-0.27214682,0.953413052,0.298164685,0.26215918,0.194959729,-0.039338727,0.022818,0.265593808,0.697087892,0.972083766,1.02853114,1.125016451,0.975286616,0.139737669,0.692886022,-0.656634066,0.933640128,0.3747816,0.454432248,0.332837942,-0.048489489,1.149919591,0.261730459,0.345993124,0.830160921,-0.358815605,0.281718093,0.548638824,0.445218727,0.616060639,-0.604691755,0.804239432,1.097795948,0.398876002,0.951146333,0.709475588,0.726480594,0.713143564
IU PDA HM11 CC8,CC8,0.514898035,0.438093616,0.013959964,0.483046286,-0.267538998,-0.181214847,0.209027125,1.433579526,0.096032727,1.526326402,0.942729965,-0.413966793,-0.426670534,0.145078526,-0.125641925,-0.047738379,0.478168133,-0.486844361,-0.189801635,-0.355804255,-0.09050734,0.407217701,0.191186563,0.401096261,0.427646719,-0.047895516,0.245690594,0.092083663,0.309989845,-0.477306156,-0.153302338,-0.308172041,-0.181317415,0.20645634,-0.123856791,-0.020578131,0.002469538,-0.316967029,0.643753794,-0.248680132,-0.364806755,0.07710451,-0.355159241,-0.1232528,0.082476163,-0.192691359,0.00646552,-0.014536069,-0.153176458,1.528669814
IU PDA HM11 CC9,CC9,0.72718594,1.984476858,-0.319228242,0.223834857,-0.378599568,-0.434539167,0.083602003,0.458383051,0.030697886,0.81520241,1.058747508,0.088774049,0.39537516,-0.194406864,-0.475763591,-0.458194168,0.526555639,-0.244273362,-0.173019243,0.152721339,-0.317480714,0.386649256,0.194661493,0.974967136,1.245763486,0.314470411,0.627648117,-0.636558117,0.027995845,-0.277399884,-0.24041314,0.179851309,-0.179002585,-0.333496335,0.197523648,0.151180295,0.029115591,-0.622176103,0.205096309,-0.014562385,-0.128295854,0.018961292,-1.4774354,-0.5576586,0.309654556,-0.289132545,-0.366420116,0.454774811,1.502161317,0.963589336
IU PDA HM12 CC2,CC2,0.180674187,-0.185410335,0.106595252,0.798290634,0.768386172,0.681730586,0.549495342,-0.360634626,-0.063798591,0.756834622,0.530049427,0.365664674,-0.382831788,0.50874154,0.329767949,0.161283453,-0.223648141,-0.054973776,0.344417161,0.910476578,0.123653339,0.082844797,-0.002472613,0.31498754,0.216734174,0.257351253,0.293720234,-0.313736381,0.185613098,0.644707795,-0.067074934,0.037854015,-0.33229521,0.702107829,0.260801922,-0.020178654,0.318478376,-0.608990972,0.093295437,0.219549629,0.421381345,0.505567389,-0.520206324,0.679096716,0.014561685,0.0446566,0.35560867,-0.211836754,0.489290737,0.114294008
IU PDA HM12 CC3,CC3,0.626665985,-0.628061992,0.560165293,0.920536634,1.196902504,1.200610823,0.972408028,-0.665147153,0.481914109,0.777808819,0.545186255,1.060889658,-0.161169243,0.39454099,1.063554756,0.8326526,0.193804747,0.34536259,1.107052378,1.339857482,0.81675734,0.453053654,-0.059332045,0.380439865,0.126074568,0.531842267,0.446373745,-0.603179351,0.28830018,1.294648265,0.469379881,0.639026883,-0.003876334,0.951282205,0.436956282,0.573656772,0.84072374,-0.741199394,0.528958402,0.760800945,1.195367692,1.063201386,-0.843616483,1.250309412,0.285245519,0.566318729,0.554957427,0.118029336,0.526682657,0.220284734
IU PDA HM12 CC4,CC4,-0.090552723,-0.134678318,-0.192433923,0.676119629,0.481978086,0.413077119,0.284911473,-0.296390748,-0.339099836,0.580361099,0.318637175,0.041662429,-0.485671354,0.494656993,-0.06208322,-0.257619778,-0.413924545,-0.262324722,-0.067909925,0.645891409,-0.14433938,-0.121316065,-0.119199715,0.137545758,0.043255215,0.004726396,0.032833597,-0.235716234,-0.018064342,0.327215785,-0.39303708,-0.284439692,-0.485951162,0.539855889,0.307908891,-0.332450356,-0.008277739,-0.544014517,-0.234151835,-0.066048125,5.90E-05,0.168997737,-0.376169092,0.333778425,-0.254551622,-0.261060541,0.212706589,-0.437003948,0.46147469,-0.109960666
IU PDA HM12 CC5,CC5,-0.453269842,0.043007905,-0.359136765,0.681195683,0.46779112,0.863104361,0.213386376,-0.485293302,-0.733237332,0.770984625,0.413135313,-0.378204613,-0.282494847,0.931438861,0.058416243,-0.42255519,-0.494383283,0.069152345,-0.203988336,0.904697966,-0.057708339,-0.353277583,-0.32467901,-0.055314895,-0.11891966,-0.004752361,0.122141633,-0.476642632,0.068491898,0.274944618,-0.489799284,-0.157299358,-0.538150916,0.387465055,-0.322279805,-0.631562073,-0.101191352,-0.55970279,-0.642938854,-0.030509397,-0.185789154,-0.327608639,-0.014684324,0.302499521,-0.519453626,-0.488827423,0.571164316,-0.607018703,0.488866874,-0.362580599
IU PDA HM12 CC6,CC6,1.502579853,0.233042147,0.373306067,0.43837102,-0.430323411,-0.205564823,0.099917816,3.446153237,0.569985248,2.157665863,1.808276331,-0.065675448,-0.610564317,-0.467140925,-0.003822223,0.20942258,2.51793369,-0.617062206,0.605948176,-0.165633803,0.783028231,0.511799974,0.159302073,0.848683941,0.169097926,0.258558123,0.483702835,0.144828875,0.060106308,-0.183077371,0.372763358,-0.253386027,-0.599398854,0.250914077,-0.290156463,0.698137029,0.135218491,-0.222451793,1.961594009,0.368387827,0.185189243,0.943617126,-0.552619307,-0.333386762,-0.065815535,-0.027348254,-0.509674384,0.741470373,-1.080343763,3.558973881
IU PDA HM12 CC7,CC7,0.047220069,0.400974578,-0.175376041,0.752785928,0.118567588,-0.038494288,0.276214673,0.14189372,-0.254294745,0.669114879,0.782941893,-0.431536371,-0.586254183,0.220556015,-0.655303979,-0.619731136,-0.184346305,-0.229326653,-0.62493195,0.132428534,0.148076766,-0.312449039,0.031938634,0.534510843,0.019524113,-0.006636925,0.157135882,-0.112867254,0.200527717,0.075511441,-0.351780799,-0.353099934,-0.568666352,0.539423123,-0.231924659,-0.274066894,-0.028461107,-0.524414496,-0.095252934,0.054034653,-0.043791146,0.040795199,-0.064846725,-0.058730442,-0.394595541,-0.3138166,0.088104808,0.003337961,0.278872834,-0.064912698
IU PDA HM12 CC8,CC8,0.701117667,0.543146466,0.06939395,0.775772024,-0.142321154,-0.021478657,0.291337323,1.506526581,0.209948603,1.708935384,1.754698419,0.000623658,-0.450815084,-0.003301165,-0.039281582,0.02602055,0.670818922,-0.371906073,0.138860047,0.181039662,0.401823589,0.259912324,0.394595699,0.843298642,0.71515093,0.54005685,0.749735153,0.005332184,0.259416309,-0.007439662,0.191682502,-0.194650669,-0.137006328,0.141881522,-0.186504643,0.148118743,0.280086688,-0.499964973,0.787590502,0.187548543,0.159572391,0.386691476,-0.311841602,0.079571286,0.026176491,-0.023868864,-0.200701578,0.154078542,-0.146113331,1.793271017
IU PDA HM12 CC9,CC9,-0.246097274,1.145415683,0.628492864,0.306178778,0.259130493,0.420881333,0.399945745,-0.314380181,-0.419579666,0.299210422,1.053487516,-0.031626627,0.116547179,0.065540648,-0.201381461,-0.294772603,-0.240254405,0.237194196,-0.832016031,-0.270913967,0.483120143,-0.190632727,0.548921823,0.783689578,0.9890229,0.207852556,0.747896846,-0.515650913,0.455321049,0.391949963,-0.26102208,0.307961231,-0.674150816,0.020577378,0.575407274,-0.177621857,0.054307066,-0.561565456,-0.225023448,0.252250432,0.077430839,0.26701216,-1.403046757,0.480373408,0.080397937,-0.1076756,0.338690796,0.077272099,-0.019957346,-0.020075602
IU PDA HM13 CC1,CC1,-0.893060012,0.030035876,-1.093603504,-0.592938545,-0.871814194,-0.649426379,-0.895080891,0.306415425,-0.950826791,-0.148521097,-0.316896012,-1.025210991,-0.816412829,-0.245507091,-1.125075112,-1.130656985,-0.874398313,-0.991559465,-0.881184295,-0.755714283,-0.944473402,-1.001475189,-0.671381618,-0.645150688,-0.258858927,-0.543616637,-0.616336997,0.379169607,-0.420093804,-0.924630386,-1.037626486,-1.193377526,-0.63301237,-0.607100147,-0.36268249,-1.162208565,-1.083958857,-0.33849523,-0.647790539,-1.054147294,-1.154421285,-1.024751561,0.415447176,-1.017953095,-1.215131032,-1.084800915,-0.497897501,-1.198970653,-0.476526637,-0.795745478
IU PDA HM13 CC4,CC4,0.291546786,0.276441433,0.086755686,-0.018905464,-0.057864088,-0.481016622,0.372650892,0.048550883,-0.119526656,0.788555533,0.736406145,-0.113777172,-0.467640434,0.395031718,0.164306302,0.133445232,-0.053517731,-0.36315096,-0.010798512,-0.25745342,-0.078422771,-0.068238518,0.344095428,-0.062871716,0.223435549,0.005977342,0.42076809,-0.183525039,0.437324486,-0.236090069,-0.271660849,-0.438821054,-0.435124626,0.132621694,0.198340317,-0.225755314,-0.231213643,-0.412822409,0.191143219,-0.16719843,-0.535161982,-0.183549102,-0.00308742,-0.37751234,-0.255473144,-0.480730898,-0.421059892,-0.283154384,-0.555726152,0.001053644
IU PDA HM13 CC5,CC5,-0.556222672,0.125239022,-0.528894728,0.033735458,-0.371223565,-0.178080569,-0.159717356,0.429956669,-0.58810896,0.385747699,0.197375978,-0.706919528,-0.750267994,0.117296849,-0.506091406,-0.664392624,-0.524905855,-0.770609555,-0.742882461,-0.186814205,-0.525758652,-0.558549852,-0.239641091,-0.358949566,-0.045342329,-0.168045931,-0.19584075,-0.082246634,-0.20445801,-0.586618563,-0.659729809,-0.898692876,-0.412252405,-0.117298967,-0.232814133,-0.796670049,-0.561236087,-0.252572827,-0.590295647,-0.66231135,-0.772242085,-0.708933219,-0.209207401,-0.586681495,-0.762940384,-0.823366512,-0.361689939,-0.702384171,-0.385306587,-0.302826988
IU PDA HM13 CC6,CC6,0.16450058,-0.254758698,-0.567610002,-0.292518825,-1.028815531,-0.774397138,-0.775143185,2.077084355,-0.321879097,0.713016069,0.112301393,-0.855546428,-0.856622323,-0.656199647,-0.801165758,-0.57026279,0.397754475,-0.983474208,-0.403672874,-0.848345795,-0.265956419,-0.611637002,-0.477938908,-0.603628097,-0.39074278,-0.534139801,-0.539886329,0.622979178,-0.274873466,-0.961481644,-0.748899497,-1.002247202,-0.538568032,-0.665403312,-0.390055818,-0.429577486,-0.908497895,-0.307168434,0.545604251,-0.98732161,-0.965164246,-0.519630953,0.31515147,-1.015821261,-1.0809837,-0.869899736,-0.556520682,-0.841918442,-0.708256468,1.213312788
IU PDA HM13 CC7,CC7,-0.820467782,0.127998377,-0.977844635,-0.555440195,-0.883047521,-0.581933498,-0.88124057,0.371564322,-0.813061718,-0.128009136,-0.196036192,-0.964120911,-0.770300683,-0.400440341,-1.126973095,-1.089526704,-0.755057607,-0.933140538,-0.910875138,-0.764782147,-0.798405177,-0.999378011,-0.581545963,-0.545661625,-0.11587358,-0.444260558,-0.46743357,0.356156294,-0.344268832,-0.912953985,-0.934603858,-1.126067912,-0.597633757,-0.664731502,-0.292611167,-1.049032994,-0.977130871,-0.336527744,-0.555982201,-0.946184274,-1.094564568,-0.923732031,0.384308677,-1.062233808,-1.137150285,-1.043756032,-0.575122099,-1.155822366,-0.552646465,-0.6343465
IU PDA HM13 CC8,CC8,-0.755000899,-0.197692497,-1.024437845,-0.664338733,-1.061216559,-0.751238753,-1.046841091,0.892345895,-0.830143445,-0.061882845,-0.418577218,-1.078702355,-0.841898209,-0.71426077,-1.068079941,-0.964755661,-0.592652478,-0.983788622,-0.816409433,-0.81080925,-0.783481619,-1.102588035,-0.810112171,-0.736386829,-0.439912664,-0.632107387,-0.70804544,0.532731869,-0.440552273,-1.025173373,-1.098605413,-1.188485788,-0.624107613,-0.906357182,-0.304013655,-1.044664496,-1.167030247,-0.332426573,-0.365226506,-1.10359988,-1.145576086,-1.04329833,0.513464825,-1.172269073,-1.316506537,-1.131999488,-0.596213478,-1.211940497,-0.52878363,-0.215826663
