orig.ident	CompositionCluster_CC	cell_type	median_ct_prop
S20-2878-C5	CC1	Bcell	0.314182439374407
S20-2878-C5	CC1	C1Q_TAMs	0.0713955319813588
S20-2878-C5	CC1	CD4_conv	0.000395302892334384
S20-2878-C5	CC1	CD8_NK	0.0092843754095199
S20-2878-C5	CC1	Dendritic_cells	0.00125290015544221
S20-2878-C5	CC1	Endothelial	0.0558126905793019
S20-2878-C5	CC1	FCN1_TAMs	0.00790495381396971
S20-2878-C5	CC1	Normal_epithelium	0.00297363632624469
S20-2878-C5	CC1	PVL	0.0330238354437761
S20-2878-C5	CC1	SPP1_TAMs	0.00020082677150871
S20-2878-C5	CC1	Tregs	0.0239088702303753
S20-2878-C5	CC1	Tumor_epithelium	0.000245304413541388
S20-2878-C5	CC1	iCAF	0.0609422074108348
S20-2878-C5	CC1	mast_cells	0.0129796949731258
S20-2878-C5	CC1	myCAF	0.258834972416506
S20-2878-C5	CC10	Bcell	0.00032057798096036
S20-2878-C5	CC10	C1Q_TAMs	0.0131681036599198
S20-2878-C5	CC10	CD4_conv	0.0148478695858646
S20-2878-C5	CC10	CD8_NK	0.0323673954585441
S20-2878-C5	CC10	Dendritic_cells	0.0192025547211954
S20-2878-C5	CC10	Endothelial	0.0889269217287839
S20-2878-C5	CC10	FCN1_TAMs	0.0313587287096778
S20-2878-C5	CC10	Normal_epithelium	0.459315737827227
S20-2878-C5	CC10	PVL	0.041132624711527
S20-2878-C5	CC10	SPP1_TAMs	0.000246559063507089
S20-2878-C5	CC10	Tregs	0.0257460562698052
S20-2878-C5	CC10	Tumor_epithelium	0.00596480371016907
S20-2878-C5	CC10	iCAF	0.0196272378509883
S20-2878-C5	CC10	mast_cells	0.0176523336657422
S20-2878-C5	CC10	myCAF	0.0424806078859355
S20-2878-C5	CC2	Bcell	0.000921519793040054
S20-2878-C5	CC2	C1Q_TAMs	0.0562058834978824
S20-2878-C5	CC2	CD4_conv	0.00409052749667367
S20-2878-C5	CC2	CD8_NK	0.00857131101997681
S20-2878-C5	CC2	Dendritic_cells	0.0308157456512139
S20-2878-C5	CC2	Endothelial	0.079542388269793
S20-2878-C5	CC2	FCN1_TAMs	0.0194835404602065
S20-2878-C5	CC2	Normal_epithelium	0.00472588448649322
S20-2878-C5	CC2	PVL	0.0460012326189959
S20-2878-C5	CC2	SPP1_TAMs	0.000428570094656506
S20-2878-C5	CC2	Tregs	0.0352258735234389
S20-2878-C5	CC2	Tumor_epithelium	0.209066464703073
S20-2878-C5	CC2	iCAF	0.0353245871501486
S20-2878-C5	CC2	mast_cells	0.0107455138954119
S20-2878-C5	CC2	myCAF	0.24292929009569
S20-2878-C5	CC3	Bcell	0.00300593564845847
S20-2878-C5	CC3	C1Q_TAMs	0.229489004920613
S20-2878-C5	CC3	CD4_conv	0.011677423327497
S20-2878-C5	CC3	CD8_NK	0.00785637707809128
S20-2878-C5	CC3	Dendritic_cells	0.00194626045220831
S20-2878-C5	CC3	Endothelial	0.02529227373943
S20-2878-C5	CC3	FCN1_TAMs	5.90488754991196e-05
S20-2878-C5	CC3	Normal_epithelium	4.8044039903251e-05
