cell_type	CompositionCluster_CC	statistic	p.value	method	alternative	p_corr	significant
Bcell	CC1	4992	5.48257467880303e-16	Wilcoxon rank sum test with continuity correction	greater	8.22386201820455e-14	*
Bcell	CC10	2615	0.0175022863691651	Wilcoxon rank sum test with continuity correction	greater	1	
Bcell	CC2	2891	0.102553774785955	Wilcoxon rank sum test with continuity correction	greater	1	
Bcell	CC3	1549	0.997433811681547	Wilcoxon rank sum test with continuity correction	greater	1	
Bcell	CC4	1638	0.997087747962889	Wilcoxon rank sum test with continuity correction	greater	1	
Bcell	CC5	2285	0.75153805739935	Wilcoxon rank sum test with continuity correction	greater	1	
Bcell	CC6	2866	0.117646639968081	Wilcoxon rank sum test with continuity correction	greater	1	
Bcell	CC7	1693	0.990024326672445	Wilcoxon rank sum test with continuity correction	greater	1	
Bcell	CC8	3238	0.00861653268209071	Wilcoxon rank sum test with continuity correction	greater	1	
Bcell	CC9	443	0.999999999931319	Wilcoxon rank sum test with continuity correction	greater	1	
C1Q_TAMs	CC1	3540	0.000401554918183652	Wilcoxon rank sum test with continuity correction	greater	0.0538083590366094	*
C1Q_TAMs	CC10	1007	0.999857186144538	Wilcoxon rank sum test with continuity correction	greater	1	
C1Q_TAMs	CC2	3112	0.0240216481468396	Wilcoxon rank sum test with continuity correction	greater	1	
C1Q_TAMs	CC3	2964	0.0334009204027882	Wilcoxon rank sum test with continuity correction	greater	1	
C1Q_TAMs	CC4	1594	0.998127203933967	Wilcoxon rank sum test with continuity correction	greater	1	
C1Q_TAMs	CC5	2198	0.831165620192803	Wilcoxon rank sum test with continuity correction	greater	1	
C1Q_TAMs	CC6	3416	0.00157130462471557	Wilcoxon rank sum test with continuity correction	greater	0.197984382714162	
C1Q_TAMs	CC7	2326	0.600758701472969	Wilcoxon rank sum test with continuity correction	greater	1	
C1Q_TAMs	CC8	3342	0.00330634160071821	Wilcoxon rank sum test with continuity correction	greater	0.409986358489058	
C1Q_TAMs	CC9	711	0.999999985011127	Wilcoxon rank sum test with continuity correction	greater	1	
CD4_conv	CC1	4169	3.89193732516179e-08	Wilcoxon rank sum test with continuity correction	greater	5.48763162847813e-06	*
CD4_conv	CC10	1855	0.726706610993717	Wilcoxon rank sum test with continuity correction	greater	1	
CD4_conv	CC2	2826	0.14494713153083	Wilcoxon rank sum test with continuity correction	greater	1	
CD4_conv	CC3	2469	0.415757277944589	Wilcoxon rank sum test with continuity correction	greater	1	
CD4_conv	CC4	2168	0.854319716893986	Wilcoxon rank sum test with continuity correction	greater	1	
CD4_conv	CC5	2314	0.721126005850393	Wilcoxon rank sum test with continuity correction	greater	1	
CD4_conv	CC6	2236	0.798626611502617	Wilcoxon rank sum test with continuity correction	greater	1	
CD4_conv	CC7	1364	0.999668150923121	Wilcoxon rank sum test with continuity correction	greater	1	
CD4_conv	CC8	3506	0.000592403156501072	Wilcoxon rank sum test with continuity correction	greater	0.0776048135016404	*
CD4_conv	CC9	1303	0.999843212015573	Wilcoxon rank sum test with continuity correction	greater	1	
CD8_NK	CC1	2583	0.390568399568623	Wilcoxon rank sum test with continuity correction	greater	1	
CD8_NK	CC10	2945	0.00050895004644023	Wilcoxon rank sum test with continuity correction	greater	0.0676903561765505	*
CD8_NK	CC2	2978	0.0609825888327652	Wilcoxon rank sum test with continuity correction	greater	1	
CD8_NK	CC3	2730	0.142969952167814	Wilcoxon rank sum test with continuity correction	greater	1	
CD8_NK	CC4	2272	0.764574075864055	Wilcoxon rank sum test with continuity correction	greater	1	
CD8_NK	CC5	2534	0.45206336054494	Wilcoxon rank sum test with continuity correction	greater	1	
CD8_NK	CC6	2017	0.938238520013396	Wilcoxon rank sum test with continuity correction	greater	1	
CD8_NK	CC7	1220	0.999946796157214	Wilcoxon rank sum test with continuity correction	greater	1	
CD8_NK	CC8	3244	0.00817585856277057	Wilcoxon rank sum test with continuity correction	greater	0.997454744658009	
